candidate_id,person_id,dcboe_hash_id,smd_id,candidate_name,manual_status,manual_source,write-in winner according to DCBOE,candidate_source_description,manual_source_link,manual_updated_at,dcboe_status,candidate_status,publish_candidate,candidate_source,candidate_source_link,match_to_dcboe,pickup_date,filed_date,dcboe_source,dcboe_source_link,dcboe_updated_at,updated_at
50001,10285,fbcfd3f6b447c45fb65e455da966c98b2462654e9a8abebbe81ea671,smd_1A02,Dieter Lehmann Morales,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-29,2020-07-31,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50002,10003,93619b5aa6e7a651f0d0db86887f91ea74a4ce64d4cc8f0998e7b447,smd_1A03,Zach Rybarczyk,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-29,2020-08-04,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50003,10005,1c69d59e11bbdd3f7ad6c7f4fa5eca2cf109db6017dd02c8f02a9b83,smd_1A05,Christine Miller,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-26,2020-07-31,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50004,10287,b22ba95ab2f748013492092ef9c9e208c7f00490b657c9c3b65240ed,smd_1A06,Sean McGrath,,,,,,,Not on DCBOE List,Withdrew,TRUE,,,FALSE,,,,,,
50005,10288,7698e60172dc04aa59a4e3c4e1b15c6ca6226234b67b1ba8049ba305,smd_1A06,Judson Wood,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-26,2020-07-10,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50006,10289,2ec2b7b53beafc8d0c6de1f6de096895cb477913bb0be75eacafb193,smd_1A07,Benjamin Tingle,,,,,,,Not on DCBOE List,Withdrew,TRUE,,,FALSE,,,,,,
50007,10290,0492fe8c14563676043af6c10e36b76ecf6316eabf04d3e5aa6f323e,smd_1A07,Mukta Ghorpadey,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-30,2020-07-23,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50008,10008,546e6a75bd74d5da1fbd3fd76cd10bc4fad4d39cbdc1851271bab80b,smd_1A08,Kent C. Boese,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-29,2020-07-06,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50009,10009,2ee0d53ca2fb47bcdae83340aa87fbfd75797b052e018c9dc230c190,smd_1A09,Michael Wray,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-26,2020-07-27,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50010,10010,1e86520ddbd4b5d25acc522d8ac07139079fed2cd92431a44d9a0c43,smd_1A10,Rashida Brown,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-30,2020-07-13,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50011,10011,7ce79e53319465d38cfa33666f0d36e1ddc86f306be588f1af7a6687,smd_1A11,Dotti Love Wade,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-07-10,2020-08-05,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50012,10012,caa2bc3567541c0803bc4bc60fb5e8d638ae730c9dfcb17aef60acbf,smd_1A12,Jason Clock,Write-In,OpenANC Form,1,,,2020-09-21,Not on DCBOE List,Write-In,TRUE,OpenANC Form,,FALSE,,,,,,2020-09-21
50013,10014,f7fb612057813d64748fc55350be5f6fc748dbdf46dc34b0e1ac0b82,smd_1B02,Dan Orlaskey,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-26,2020-08-04,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50014,10291,1ad30b864db573a5f5e08fe509057b2b612c25281c01dbad8d8e5b89,smd_1B05,Victoria Sanchez,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-07-13,2020-08-05,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
50015,10018,52354346602018fe77f962d7ddfc6a9075922430770977deeea5cd0c,smd_1B07,Marcia Shia,,,,,,,Not on DCBOE List,Withdrew,TRUE,,,FALSE,,,,,,
50016,10020,c45c9cb36ba386ea68193f4217f76b71fce4c75debcfad9a3735e030,smd_1B09,James A. Turner,,,,,,,On Ballot,On Ballot,TRUE,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,TRUE,2020-06-26,2020-07-17,DCBOE,https://www.dcboe.org/Candidates/2020-Candidates,2020-09-29,2020-09-29
