smd,full_name,pickup_date
1A02,Dieter Lehmann Morales,2020-06-29
1A03,Zach Rybarczyk,2020-06-29
1A05,Karyn C. Miller,2020-06-26
1A06,Sean McGrath,2020-06-30
1A06,Judson Wood,2020-06-26
1A07,Benjamin Tingle,2020-07-01
1A07,Mukta Ghorpadey,2020-06-30
1A08,Kent Boese,2020-06-29
1A09,Michael Wray,2020-06-26
1A10,Rashida E. Brown,2020-06-30
1B02,Daniel C. Orlaskey,2020-06-26
1B07,Marcia Shia,2020-06-29
1B09,James A. Turner,2020-06-26
1B11,Robb Hudson,2020-06-29
1C03,Elias Benda,2020-06-30
1C03,Peter Wood,2020-06-29
1C07,Joseph Bowles,2020-06-30
1D02,Robin L.Sandenburgh,2020-06-29
1D03,Jack McKay,2020-06-26
1D05,Chelsea A. Allinger,2020-06-29
2B01,Matthew Sampson,2020-07-01
2B03,Robin Linnett Nunn,2020-06-29
2B04,Dianne C. Quinn,2020-06-30
