smd_id,current_commissioner,list_of_candidates
smd_1A06,Angelica Castañon,"Sean McGrath, Judson Wood"
smd_1A07,Jen Bundy,"Benjamin Tingle, Mukta Ghorpadey"
smd_1B05,(vacant),"Victoria Sanchez, Alan Kensek, Jr."
smd_1B07,Marcia Shia,"Marcia Shia, Max Ewart"
smd_1B12,Dan Winston,"Michael Singer, Dan Wittels, Andre Denegri"
smd_1C03,Ted Guthrie,"Elias Benda, Jennifer Hughes, Peter Wood"
smd_1C04,John V. Zottoli,"Meghan Faulkner, John V. Zottoli"
smd_1C05,Damiana Dendy,"Dennis Jaffe, Zack Gold"
smd_1C08,Chris Jackson,"Chris Jackson, Fiona Clem"
smd_2A02,Nicole Goldin,"Nicole Goldin, Joel Causey"
smd_2A03,Trupti J. Patel,"Trupti J. Patel, John Didiuk, John P. George"
smd_2B01,Matthew H. Sampson,"Matthew H. Sampson, Margaret Ellen Roggensack"
smd_2B03,(vacant),"Bashir Yousef, Robin Linnett Nunn"
smd_2B04,Aaron Landry,"Moshe 'Mo' Pasternak, Dianne C. Quinn"
smd_2D01,David R. Bender,"Thomas McDonough, Ashley Warren"
smd_2E02,Joe Gibbons,"Jenny Mitchell, Christopher Mathews"
smd_3C05,(vacant),"Meena Aladdin, Sauleh A. Siddiqui, Trish Berman"
smd_3D01,Chuck Elkins,"Carolin Jane Croft, Chuck Elkins"
smd_3D02,Troy Kravitz,"Troy Kravitz, Toni A. Ghazi"
smd_3D08,Christine Warnke,"Benjamin Bergmann, Doreen Moses, Christine Warnke"
smd_3D09,J.P. Szymkowicz,"Marc Hayes Robinson, J.P. Szymkowicz"
smd_3E03,Jonathan Bender,"Jonathan Bender, Sara Cantos Kline"
smd_3E04,Tom Quinn,"Laila Kunaish, Tom Quinn"
smd_3F01,David Cristeal,"Ulas Doga Eralp, David Cristeal"
smd_3F05,Andrea Molod,"Alexander Armstrong, Claudette David, Ryan Keefe"
smd_3F07,(vacant),"Matt Buechner, Lisa Cox"
smd_3G01,Abraham Clayman,"Lisa R. Gore, Lucinda A. Wade"
smd_4A02,Stacey Lincoln,"Stacey Lincoln, Merrit Paul Drucker"
smd_4A04,Patience Singleton,"Patience Singleton, Jes'Terieuz 'JT' Howard"
smd_4A06,Candace Tiana Nelson,"Aretha N. Jones, Candace Tiana Nelson"
smd_4B03,Scot Knickerbocker,"Jocelynn 'JJ' Johnson, Laurence B Minor II"
smd_4B09,LaRoya A. Huff,"LaRoya A. Huff, Tischa Cockrell"
smd_4C01,Charlotte Nugent,"Vanessa Rubio, Taalib-Din Uqdah"
smd_4C04,Nora Simon,"Yvette D. Marbury-Long, Jeremy Foster"
smd_4C06,Bennett Hilley,"Michael C. Whelan, Namatie Sia Mansaray"
smd_4C07,Kim Varzi,"Jacob Mason, Paul Johnson"
smd_4C08,Leah Anderson,"Clara Haskell Botstein, Charles Andrew Sinks"
smd_4C10,Jonah Goodman,"Jonah Goodman, Monica P. Blair"
smd_5A08,Gordon-Andrew Fletcher,"Nestride Yumga, Gordon-Andrew Fletcher"
smd_5B01,Gayle Carley,"Gayle Carley, Cynthia Woerner, Steven Reaves Couper"
smd_5C01,Gail Brevard,"Michael Triebwasser, Gail Brevard"
smd_5C05,Darlene Oliver,"Jonathan Alfuth, Justin R. Riordan"
smd_5C06,Kirsten Williams,"Thaddeus James, D'Andre A. Phillips"
smd_5D03,Steven C. Motley Sr,"James Butler, Sean Barry, Latoya Renee Moore"
smd_5D05,Sydelle Moore,"Kathy Henderson, Sydelle Moore"
smd_5D06,(vacant),"Zachary Hoffman, Michael Anthony Lussier"
smd_5E04,Sylvia M. Pinkney,"Mary Farmer-Allen, Sylvia M. Pinkney"
smd_5E09,Dianne Barnes,"Kirby Vining, Dianne Barnes"
smd_6A01,Marie-Claire Brown,"Marie-Claire Brown, Keya Chatterjee"
smd_6A04,Amber Gove,"Amber Gove, Ali Gardezi"
smd_6A06,Stephanie Zimny,"Robb Dooling, Kate Robinson, H.J. Amons, Sr."
smd_6A07,Sondra Phillips-Gilbert,"Rico Dancy, Sondra Phillips-Gilbert, Daniel M. Lee"
smd_6B03,Brian Ready,"Gerardo Mijares-Shafai, Brian Ready"
smd_6B09,(vacant),"Michael Morris, R. Andre Speaks"
smd_6C04,Mark Eckenwiler,"Pranav Nanda, Mark Eckenwiler"
smd_6C06,Drew Courtney,"Tommy Howard, Cindy Drabek, Drew Courtney"
smd_6E01,"Alexander M. ""Alex"" Padro","Michael Eichler, Mary A. Sutherland"
smd_6E02,Michael J. Brown,"Alexander Lopez, Valerie Randolph, Eugene Simms, Tony Brown"
smd_6E04,Rachelle Nigro,"Matthew R. Salmon, Rachelle Nigro, Jordan A. Hibbs"
smd_6E07,Kevin M. Rogers,"Nathan Brown, Kevin M. Rogers"
smd_7B01,Patricia Howard-Chittams,"Chioma Iwuoha, John Adams"
smd_7B05,"Villareal ""VJ"" Johnson II","Villareal ""VJ"" Johnson II, Donna Robinson"
smd_7B06,April Pradier,"Tony Dugger, Andrew Carlyle Haynesworth"
smd_7C02,(vacant),"Yolanda Fields, Patricia Williams, Mandla Deskins"
smd_7C03,Catherine A. Woods,"Vincent Van, Catherine A. Woods"
smd_7C04,Anthony Lorenzo Green,"Anthony Lorenzo Green, Pete Stamper"
smd_7C07,Antawan Holmes,"Emmanuelle Klossou, Antawan Holmes"
smd_7E04,Takiyah Tate,"Natasha Dupee, Lorraine Miller, Keith Hasan-Towery"
