dcboe_hash_id,match_score,candidate_name,match_person_full_name,smd_id,match_person_any_smd,match_person_id,good_match
89e768b1dab5483c0b705d0d5ffa2429d1110a1fcaa6b65cbe3854a4,100.0,Brandolon Barnett,Brandolon Barnett,smd_2022_1A06,smd_1A06,10629,
59e011a749ed0f67820b404389601a8269b90d8cfeb61e8e554f229a,100.0,Gwendolyn Lohse,Gwendolyn Lohse,smd_2022_2E06,smd_2E06,10062,
f6e9463f98a1e85925ee34792e1b0c2ef4f408be7f5d832826d36f7d,100.0,Vince Van,Vince Van,smd_2022_7C03,smd_7C03,10406,
c30c8c501a74543fcd104a200f316174483dcd8d5f572b6cd1a0da83,100.0,John F. Adams,John F. Adams,smd_2022_7B01,smd_7B01,10452,
38d045735c5ca4cb1f87cea337f702d57d777c1791af4cf1b68a18bc,100.0,Wendy Lynch,Wendy Lynch,smd_2022_3D06,smd_3D06,10573,
b1f60d69aa4019e2ce098693ad9232bc639d2febedb4998822fc5251,100.0,Vanessa Rubio,Vanessa Rubio,smd_2022_4E01,smd_4C01,10349,
815104a9ab9e3de96aed4169df0d96d13ebeb0f47924f3cc5f7e17d7,96.0,D. L. Humphrey,D.L. Humphrey,smd_2022_7B04,smd_7B07,10224,
8078225f8c6562c31f9080ac6ffacec9a1b29f75cdbfb57226e2d0a4,92.0,J.I. Swiderski,J. Swiderski,smd_2022_1B07,smd_2022_1B07,11510,
c8bb52dec8d360e61591cf843093e6ffc273c4b5411a4fe33bb829db,90.0,Zachary Ammerman,Zach Ammerman,smd_2022_5A09,smd_2022_5A09,11511,
5d3de478d6b95e31125f6e96dc909e8aa2a615c103174cf0d4435cc3,80.0,Maria Johnson,Marvin L. Johnson,smd_2022_8D06,smd_1A01,10638,
47a5811fa7a6d808a422315964bbe2ec06c6492742f3ffaa0e7d0b62,78.0,David Segall,David Engel,smd_2022_1A08,smd_3G05,10885,
228746de1a248db1d65fa00889143f87d098f2f8f2e291b223d7bd5d,77.0,Alexandra Kelly,Alexandra Bailey,smd_2022_6A04,smd_2F08,10521,
17ffeb9b6db0f01a7c608e01c630398e3e3a0a4886c5554209d9679b,72.0,Anna Roblin,Donna Robinson,smd_2022_5D03,smd_7B05,10400,
cbd6f16daafe244eee7f6375efc16c36c5123225790e79c689d4e5c4,72.0,Kelly Mikel Williams,Michael Williams,smd_2022_8E03,smd_5A02,10976,
bf5002b78106827c1435abf60485b5d3d21edaf487205dca640faaa0,71.0,Carrie N. Brown,Michael J. Brown,smd_2022_7C09,smd_6E02,10212,
573565f4e4905db8ff37401d21899a5a98a8ae88c7964d6babc50e17,69.0,Jeffrey Denny,Jeffrey McCoy,smd_2022_3E05,smd_8C01,11303,
d9081248356ba899d2bf5843a5aaeb601cc66421cd8c37e1990512db,64.0,Lynda Laughlin,Laina Aquiline,smd_2022_1C06,smd_1A04,10646,
6855dad071a2f1a25063d5f489d125d50662e82d5ea3658724588743,62.0,Steven Mccarty,Steven Holtzman,smd_2022_2G04,smd_6B05,10193,
0b8bbdf30f645f5c23fad620fb3fe672d7c4cf73d39734cf658d9e50,62.0,Ashleigh Fields,Carole Feld,smd_2022_1B07,smd_2D02,11352,
