candidate_id,person_id,dcboe_hash_id,smd_id,candidate_name
50846,10153,6f5f025423177290fd4e6c165a95c675ce1d09b7674c7831056c3b55,smd_2022_5B01,Gayle E. Carley
50847,10154,9e67a40ada3a3f6a9675ebe1d179aa9e1bc7ab128648f8d3f8dc0f36,smd_2022_5B02,Ursula Higgins
50848,10400,81bd5f786a8dc06fc69e9ba91df0e706d1ff183e989d4875587c2839,smd_2022_7B05,Donna Robinson
50849,10427,7fd404e027e31d894e2feb17316fee62b2dad20987c9e3c4ee820ca9,smd_2022_8B06,Alyce Mcfarland
50850,10449,a30456f51506e38adcad2135038b7f26fa987d61e646d8e6b00e7663,smd_2022_5F05,Mary L. Farmer-Allen
50851,10461,9b5b4177ba4c8248b5beb951e77b265d475d8b6f3c110c4d74225d0e,smd_2022_1C07,Nancy Shia
50852,10554,ae979e08857c2288cc771d863e91c94a9e64ca330e4b431306370a59,smd_2022_4A07,Carolyn C. Steptoe
50853,10661,10c691cdefefcd95957cc3874d1d0a5bebc6bde8c0c3bb8d277a62d6,smd_2022_8C04,"Lenwood ""Lenny"" Johnson"
50854,10961,3a45a9185b998027763a3548d41945e807e72e48cac9935e2ed0f6fc,smd_2022_4D05,Stephen Marencic Jr.
50855,11281,f68192debc5dd8477691d2702e6d8037d293e8cddfde3185e804aa2c,smd_2022_8D05,Travon Hawkins
