candidate_id_suggested,person_id_suggested,election_year,external_id,smd_id,candidate_name
51276,11747,2024,9a82b938daa796d1bffbc98fb21d6d67a1886fa0e3ea710529d1de70,smd_2022_1B02,Francois Barrilleaux
51277,11748,2024,4bc4fd157a2fb33df96c0852476037d21321d7a900bb363004474880,smd_2022_1B02,Frank Chauvin
51278,11749,2024,30b46448cbeac8dff4ae2b9c7a2353a5b1d646d5a134c5c5083bbcb1,smd_2022_1B03,Nianyi Hong
51279,11750,2024,bb7decd9e9e5de59f945ff02510fe21892471ddc874b1b021bcad9d3,smd_2022_1B03,S. Gideon Sanford
51280,11751,2024,56847c2381b568efd5956a9206a24cfe4d15a089fca61dbc661edc93,smd_2022_1C05,Scott Olesen
51281,11752,2024,ad79582292ae63826f90798b5e6b273a2ab7a879e17f7c97925a6c43,smd_2022_1D01,Jay Falk
51282,11753,2024,0fa41eaf9166d8e99cf8bcf616f8e036fc5dab8dcf4ccbff988b25f4,smd_2022_1D01,Nora Ivory
51283,11754,2024,bd6ca218de0331f29884edd823e3fde009612dd6a2bd9a283112bbd1,smd_2022_1E02,Audra Grant
51284,11755,2024,71d49d0f0728f026ffa483b88e4cfdd89fd41ea02934f0e7c56bce46,smd_2022_2A02,May Yang
51285,11756,2024,50d7a0d1103b0f8a6c1596ec1413569cc1a19042efc976182d5bfb06,smd_2022_2C02,Nancy Groth
51286,11757,2024,5963bb51ba8a2933c75beee64db664d0fbbe5804de6e9bc351daa929,smd_2022_2C04,Jim L. Swart
51287,11758,2024,1cd817c1555f94963546d46b5425ed1c964ce4023ff1468e0649e743,smd_2022_2D01,Robyn Lipton
51288,11759,2024,ca024a66a25e126b7dda858c6758a061395b09557b96906bb801c73d,smd_2022_2G03,Nicole Shea
51289,11760,2024,3d191e2aa84b2d0d12237d4657634355ad2abadebc8d55f4074b3e41,smd_2022_3/4G01,Lee Mayer
51290,11761,2024,792be4086bc59ad50c9ad8d67b9822e723fb796541f95419c6dfb4c7,smd_2022_3/4G04,Laura Phinizy
51291,11762,2024,84dbe74645ae06b2fca47b82a3e6127d8f75632a0f9882bc9ffcedba,smd_2022_3/4G04,Mark L Wolfe
51292,11763,2024,0431316324c3f47d73ebbc59044c364cd2aac3278ef3e9f0b81b094a,smd_2022_3/4G05,Mark E. Rooney
51293,11764,2024,1ec794e0684b7741bcf41af3de14e906ceb99701c096a7938dc249cc,smd_2022_3/4G05,Karrenthya Simmons
51294,11765,2024,4133840f3bd26c4b37fdb25d13f26d09d4daccb61e6e0ea829dfdba0,smd_2022_3/4G07,"Elizabeth ""Liz"" Nagy"
51295,11766,2024,9cf5a2a21f9e23ee7d6cbc54f17b60bbbb300652f52fb0268c83aee7,smd_2022_3/4G07,Matt Mcfarland
51296,11767,2024,03177a3d26e125dc5f1d8b5dca64a94bb9a71aa2081bb298e57c28c1,smd_2022_3A03,Maria Perisic
51297,11768,2024,5b1ec8fb6e9c91f2383092a18d5d159b387961a2d5c9f40b5bb3119c,smd_2022_3C06,Girish Bose
51298,11769,2024,f37127f26fd39bb1604131cce82f6e9460fa8b7a9c44f2502c4d54bc,smd_2022_4B01,Slobodan Milic
51299,11770,2024,94f000ac41e84c4563afecf2937b5b4ca71796a55c6a0c21a68de886,smd_2022_4C03,Mike Warburton
51300,11771,2024,5574704485d074d087a9d46ed7e23e2adf97f0b5b92424ce8dbf274a,smd_2022_4C06,Yolanda A. Anderson
51301,11772,2024,0c77a667fcdab74e933c0c946bb1f380fa6099fba0a31254444880a3,smd_2022_4C06,Maggie Dart-Padover
51302,11773,2024,6babb6b1b78ebf98cbc8dc8579dc3e56fd83eacd3f0bfb9a13d7f587,smd_2022_4D03,Brendi E. Bluitt
51303,11774,2024,ac69f2ccfe4db78ae316c219fea10109c472c8943880a07f1391d560,smd_2022_4D06,Stoyan Dimitrov
51304,11775,2024,b0fb34c7eabbed2607c9e5af499848440cf14840dd1e5bbf2718095d,smd_2022_4D07,Emma Treat
51305,11776,2024,aa47a532326c47c19f1a022be05cee120766a08b36d28b08f82d77d3,smd_2022_4D08,Jenn Kauffman
51306,11777,2024,cecb3e0917428b2ee38099eca16b5dc94a54075027c476d895e7a3d7,smd_2022_5B05,Monica Martinez Lopez
51307,11778,2024,3e4f2a9dd6df3a54fd5408642a2d71277210c8aa551063a2b1376f71,smd_2022_5B07,Zahid Rathore
51308,11779,2024,949fd475920cd4f94d83bd5ff973e79b7b58869a0c7349b8dcca5650,smd_2022_5B07,Kris Haynes
51309,11780,2024,628b90d29c2e8831ba7c88bdd3129143454d6b51d41de8c388c03da9,smd_2022_5E03,Mike Bloomberg
51310,11781,2024,55bd4e38e47e09f9dcb590aa1d424b36fc48a7babf16450c5aa36b58,smd_2022_6B06,Burl Haigwood
51311,11782,2024,d37123db49151190f04d909bb043ef7f07fa0d38bf2f7387cb8d3c58,smd_2022_6B06,Anna Krebs
51312,11783,2024,37651270c4fe9b95d524ea702fd0acc73935f18d16bc2dd3f6cfb6cc,smd_2022_6B09,Karen Hughes
51313,11784,2024,de806d3ad9936c2f5a3dc4611a94f0e41fb20d3f7712c1bc578da55f,smd_2022_6D05,Chearie Phelps-El
51314,11785,2024,b913c400f89f3cd9bba5562713453b444e3c384dfcd66f98ad5a9beb,smd_2022_6E02,Crystal J. Watts
51315,11786,2024,5fae04887a8419cd91e15b582303147527703240a711a91aeaef9546,smd_2022_6E04,Kawana Jeffer Williams
51316,11787,2024,1097a47226e36e58e10dadc244562eb6d35ae8bcd7d4701177eb8a4d,smd_2022_7B05,Elizabeth Reddick
51317,11788,2024,80933a246d2e7bd4e3d54d1a7a7b5ebbe7637f8918a72111bd9745d8,smd_2022_7B08,Angela M. Sydnor
51318,11789,2024,9b160b7fe0355e3509167dfb952d003bc440cd8d451dcd63480430e4,smd_2022_7C06,Ladan Wallace Johnson
