person_id,dcboe_hash_id,smd_id,candidate_name,votes,vote_share,ranking,winner,write_in_winner,margin_of_victory,margin_of_victory_percentage,num_candidates,total_votes
10460.0,5562e6cb282ae08f0a57700a9f21b2ac6b13b6082f4088e65f72b649,smd_2022_1A01,Max Ewart,472,0.9853862212943633,1.0,True,False,465.0,0.9707724425887265,2,479
,3fe498bd427542a3d129749bd0ad4409c7bf704b911158de906ca568,smd_2022_1A01,Write-in,7,0.014613778705636743,2.0,False,False,-465,-0.9707724425887265,2,479
10285.0,dcca894eb6fbad029f0602aea05dba22af14b0866045b711be6429b4,smd_2022_1A02,Dieter Lehmann Morales,405,0.9759036144578314,1.0,True,False,395.0,0.9518072289156627,2,415
,d150179dc346bc3fda316b31c540fba347400a0d2f5b1368af45400b,smd_2022_1A02,Write-in,10,0.024096385542168676,2.0,False,False,-395,-0.9518072289156627,2,415
11345.0,f9e78f92331964dbb13882c00022c44b62a83a73673a072bad3ba714,smd_2022_1A03,Carlo Perri,288,0.972972972972973,1.0,True,False,280.0,0.945945945945946,2,296
,936d676bbb9f6fee6970b450d91e355cd18a4fa61b5ebfc0da702e01,smd_2022_1A03,Write-in,8,0.02702702702702703,2.0,False,False,-280,-0.945945945945946,2,296
11371.0,1088a5b7560f9a6cdccb70b673efd8f2422cb8a8311aafabc99e2c65,smd_2022_1A04,Jeremy Sherman,499,0.9708171206225681,1.0,True,False,484.0,0.9416342412451362,2,514
,e7a8c10f3fa5d85c0620fa09361b8b42776bf61e845c9e6a87e7492e,smd_2022_1A04,Write-in,15,0.029182879377431907,2.0,False,False,-484,-0.9416342412451362,2,514
11417.0,d84a47f58fa9fd4e3d347fadbfd177f3a344945eca2c04f4bb3d0933,smd_2022_1A05,Stephen Coleman Kenny,339,0.9826086956521739,1.0,True,False,333.0,0.9652173913043478,2,345
,237ce5ddb3be237a0b78ce7a27f0b633fce390026094b6e4a881a822,smd_2022_1A05,Write-in,6,0.017391304347826087,2.0,False,False,-333,-0.9652173913043478,2,345
,41c213706e8ed8de526126034cea5f146000a906435b36854a8c09b7,smd_2022_1A06,Write-in,145,1.0,1.0,True,True,0,0.0,1,145
10290.0,b63a759dcd36681ec5b12faa2328e6f6772fe3324e1e20e531289fd2,smd_2022_1A07,Mukta Ghorpadey,491,0.9646365422396856,1.0,True,False,473.0,0.9292730844793713,2,509
,7f481707ab3d2e5945c1cca80d5f5746ecc73cf0ede5d2c087ee2944,smd_2022_1A07,Write-in,18,0.03536345776031434,2.0,False,False,-473,-0.9292730844793713,2,509
11512.0,47a5811fa7a6d808a422315964bbe2ec06c6492742f3ffaa0e7d0b62,smd_2022_1A08,David Segall,346,0.969187675070028,1.0,True,False,335.0,0.938375350140056,2,357
,40fb0e49962a82ca862ad7b5ce99dc9c360a53c8ce67bb962e52c4a7,smd_2022_1A08,Write-in,11,0.03081232492997199,2.0,False,False,-335,-0.938375350140056,2,357
10020.0,cff994565f00e16b5710be29eb2d662aec7cbc9003e8c900a5b5d574,smd_2022_1A09,James A. Turner,402,0.9571428571428572,1.0,True,False,384.0,0.9142857142857144,2,420
,2a723c25b7e04c94cbafd0fcb91a285c314378de0bce8565e3fb6363,smd_2022_1A09,Write-in,18,0.04285714285714286,2.0,False,False,-384,-0.9142857142857144,2,420
11461.0,535506ac27876a3d8309f3853dc0eb532e9a883ef52fbd41ab6057ac,smd_2022_1A10,Billy Easley,302,0.5644859813084112,1.0,True,False,77.0,0.14392523364485982,3,535
10011.0,3397ae40dc54d42a2c5e137488a9fce16554282f7d9151f564e10891,smd_2022_1A10,Dotti Love Wade,225,0.4205607476635514,2.0,False,False,-77,-0.14392523364485982,3,535
,b0dd7e97cfbc4d5421160f3075702352b94ff32b62f2914b11d2dc79,smd_2022_1A10,Write-in,8,0.014953271028037384,3.0,False,False,-294,-0.5495327102803739,3,535
10468.0,53c43e04e143f15447dd1458a1ae654b2a2091a01838d999d62d7ca0,smd_2022_1B01,Larry Handerhan,606,0.9742765273311897,1.0,True,False,590.0,0.9485530546623795,2,622
,986724b0127c1ed413b3ff2aadab43a14d29a1568b8a67c02adfdeea,smd_2022_1B01,Write-in,16,0.02572347266881029,2.0,False,False,-590,-0.9485530546623795,2,622
11416.0,06ad2150fe0ec19e06065c4f0d71a2e680086b09fcf06c11e4d38cd4,smd_2022_1B02,Sean Holihan,558,0.9670710571923743,1.0,True,False,539.0,0.9341421143847486,2,577
,6b2805f0a8a07da36d9447c9975647ab692a339ec035fa54c777e426,smd_2022_1B02,Write-in,19,0.03292894280762565,2.0,False,False,-539,-0.9341421143847486,2,577
11366.0,55499d2334ea9ad1e6534b7d6fc2dc9ba532718f3f779a7843b8e138,smd_2022_1B03,Jamie S. Sycamore,492,0.9498069498069498,1.0,True,False,466.0,0.8996138996138996,2,518
,fd1a43e0359d11981144303bdcd04a759856498170bcf152227109b5,smd_2022_1B03,Write-in,26,0.05019305019305019,2.0,False,False,-466,-0.8996138996138996,2,518
11358.0,e6a743941dcab42f5463300cd61818373ecee75384a9f4a415ec04c5,smd_2022_1B04,Santiago Lakatos,577,0.7257861635220125,1.0,True,False,376.0,0.47295597484276725,3,795
11522.0,6fb27b5c77993ff134e0ae8e1b9bb06cdd40df290b43add54910397c,smd_2022_1B04,Harry Quinton,201,0.2528301886792453,2.0,False,False,-376,-0.47295597484276725,3,795
,7204b0b29cc9bbfc10ed57402dd8c56c82c72fe85e0229f32cf6e718,smd_2022_1B04,Write-in,17,0.021383647798742137,3.0,False,False,-560,-0.7044025157232704,3,795
,c027e091a5d085e8cd005884b5b109b9b24f738353283514c743b17f,smd_2022_1B05,Write-in,156,1.0,1.0,True,True,0,0.0,1,156
,45dcadf142abd43bd652fd984fa32887a7773db11f377199f4a27d3c,smd_2022_1B06,Write-in,70,1.0,1.0,True,True,0,0.0,1,70
11513.0,0b8bbdf30f645f5c23fad620fb3fe672d7c4cf73d39734cf658d9e50,smd_2022_1B07,Ashleigh Fields,490,0.9551656920077972,1.0,True,False,467.0,0.9103313840155944,2,513
,42e285133d4a98b31817f2b4c506e438763780e7ee57c294dff4ed90,smd_2022_1B07,Write-in,23,0.04483430799220273,2.0,False,False,-467,-0.9103313840155944,2,513
10519.0,2c89e0ba33d3ef9865b922649dd11193de12e1e5f84c38970a77ee67,smd_2022_1B08,Sabel Harris,568,0.9403973509933775,1.0,True,False,532.0,0.880794701986755,2,604
,6dd8b2dbb9a96323128fe4a68008ea07a842620c835ab3dd3c078940,smd_2022_1B08,Write-in,36,0.059602649006622516,2.0,False,False,-532,-0.880794701986755,2,604
11363.0,fc1061e070a10cc362bdc7aaca909fc9846247a4f7190302a21e84b0,smd_2022_1B09,Tucker Jones,542,0.9626998223801065,1.0,True,False,521.0,0.9253996447602131,2,563
,f118d04ace52ed612db8c9d4a41e9990c941352adee40cd49efc7aba,smd_2022_1B09,Write-in,21,0.037300177619893425,2.0,False,False,-521,-0.9253996447602131,2,563
11344.0,d88d9fc48f174638ba2aade81aeaf879c06cea91925d22ec229ee19c,smd_2022_1C01,Howard Bauleke,523,0.9578754578754579,1.0,True,False,500.0,0.9157509157509158,2,546
,44a35093090e6336cb06eb793c110980539d5a9a98eb779e9db6cec6,smd_2022_1C01,Write-in,23,0.04212454212454213,2.0,False,False,-500,-0.9157509157509158,2,546
11531.0,a781466b17c3f51a2ee80f4015c489244b7d2acb8d1a10bc57df621f,smd_2022_1C02,Lee Dixon,547,0.968141592920354,1.0,True,False,529.0,0.9362831858407079,2,565
,ba620e1e9535482568a6ea01ea90b243074d5dde69d029e17fd90ab1,smd_2022_1C02,Write-in,18,0.03185840707964602,2.0,False,False,-529,-0.9362831858407079,2,565
10296.0,2e8354d50db30e833862eba772e0360f216ad477eff6a95fef2e2670,smd_2022_1C03,Peter Wood,627,0.9736024844720497,1.0,True,False,610.0,0.9472049689440993,2,644
,036fed62bee7f8248b674e4e4754f350cd242e34e8e436a7d94224d6,smd_2022_1C03,Write-in,17,0.026397515527950312,2.0,False,False,-610,-0.9472049689440993,2,644
11489.0,0677a42de7f69998e68194e044312dd65609dc1f2981f70e3b1656d8,smd_2022_1C04,Joseph Van Wye,615,0.9715639810426541,1.0,True,False,597.0,0.9431279620853081,2,633
,84366a89f9066e51c27db7275f014fca5e9b765ad5adac32f7ca3f01,smd_2022_1C04,Write-in,18,0.02843601895734597,2.0,False,False,-597,-0.9431279620853081,2,633
11408.0,c18366073bfc0c37989fdc35028d714ae03e06770511533262fddd54,smd_2022_1C05,Margaret Stevens,428,0.7121464226289518,1.0,True,False,272.0,0.45257903494176377,3,601
11568.0,54ef85de748cf36a4b86ef512fbb4f6dc3ef86097bbd504a318deff9,smd_2022_1C05,Wilma B.Y. Jones,156,0.259567387687188,2.0,False,False,-272,-0.45257903494176377,3,601
,bdc72ef63902963b975bd1f875eca2428383592f93663f70ff1fe6b9,smd_2022_1C05,Write-in,17,0.028286189683860232,3.0,False,False,-411,-0.6838602329450916,3,601
11514.0,d9081248356ba899d2bf5843a5aaeb601cc66421cd8c37e1990512db,smd_2022_1C06,Lynda Laughlin,589,0.9608482871125612,1.0,True,False,565.0,0.9216965742251224,2,613
,a58c36abef4a5612c58ba57a591dc7537469f9bdb55f76fe5105454f,smd_2022_1C06,Write-in,24,0.03915171288743882,2.0,False,False,-565,-0.9216965742251224,2,613
10632.0,74faa0abdef588307d344a1143cc6e473cc9688e1e17807fa35a4107,smd_2022_1C07,Jake Faleschini,390,0.6890459363957597,1.0,True,False,220.0,0.38869257950530034,3,566
10461.0,9b5b4177ba4c8248b5beb951e77b265d475d8b6f3c110c4d74225d0e,smd_2022_1C07,Nancy Shia,170,0.3003533568904594,2.0,False,False,-220,-0.38869257950530034,3,566
