candidate_id_suggested,match_person_id,dcboe_hash_id,smd_id,candidate_name
50791,10008,198d13865a08b5cf5075a809d4972d493922621c0bccd7b3bbdcb67c,smd_2022_1E01,Kent C. Boese
50792,10009,3be338453cbef0f37de4ac1921e5d9f8352f5816c673aa3e354fe90a,smd_2022_1E03,Michael Wray
50793,10115,6a90e00af941f7d58c4386a7e3b1d23fb7935c46148659dac7c0b93d,smd_2022_4A02,Stacey Lincoln
50794,10128,6e4de5570a2b0a9f344c8e87f252f1ae24fac3e758464cd47741ab80,smd_2022_4B08,Alison Brooks
50795,10132,a76617917f48ec307347b3d4e59e0814fc398e44c6c7f2517be9a750,smd_2022_4E05,Ulysses E. Campbell
50796,10211,c62dede4c944e0332cbf4cc7cc387e39243b1d6f12d9efec92889174,smd_2022_2G02,"Alexander M. ""Alex"" Padro"
50797,10250,a65a431523a9d277cc528f3ac9b15fa62acd6c52a67f52987179c7ea,smd_2022_8A03,Holly Muhammad
50798,10283,4e4eff9573b8934fb120cfc9d96a81fc69d3e6e74037f6171059f614,smd_2022_8E06,"Karlene ""K"" Armstead"
50799,10361,67b1a555e975e87e514e1b3e3b35f9a7efda35a5c00dcef0ca5f0be1,smd_2022_5B05,John Feeley
50800,10393,b560f33ecf554fe0a01a2ef6c2ab6dd495921a6b13a20f206cd22c8f,smd_2022_2G01,"Anthony ""Tony"" Brown"
50801,10462,874881d5669222fb008e249647644831df0a175ca7290719a58a2482,smd_2022_2D01,Ashley Warren
50802,10513,98a6a407bc50cbc67860f0d06a49ce60d207123ea3df843dba16352a,smd_2022_6E04,Denise E. Blackson
