external_id,smd_id,candidate_name,pickup_date,filed_date,candidate_status
7c95a98aaaec6f77250d1940ef7c1cd2b307e509bc2506d8cc4bd7f6,smd_2022_1A01,Jaspal S. Bhatia,2024-07-29,,Pulled Papers for Ballot
9aeea0444329348627809add5e83116a8d264d013c2f3b2672f77ae0,smd_2022_1A02,Dieter Lehmann Morales,2024-07-01,2024-08-01,Filed Signatures
a6d731377c565f5201021eb6e5552bc98f032ea356505d3019b45317,smd_2022_1A03,Carlo Perri,2024-08-02,,Pulled Papers for Ballot
4c916fb283646fa0b640c8ca2769d0dbf3e474d75dd5ca0e173d4d02,smd_2022_1A04,Jeremy Sherman,2024-07-01,,Pulled Papers for Ballot
0f6e5a0fd21ed9800e54a8cc70de4cfb4459e2918bfbaceb904fa313,smd_2022_1A05,Christine Miller,2024-07-01,2024-07-29,Filed Signatures
0fd08b5d9ba43c7fea861e963ab2d38cefbed4e10f1b3829797f3765,smd_2022_1A06,Anthony Thomas-Davis,2024-07-03,,Pulled Papers for Ballot
93d90acab811c9a93402beace6bd6452eeae7534ee7c6696ee4014c7,smd_2022_1A07,Mukta Ghorpadey,2024-07-03,2024-07-24,Filed Signatures
03b3a219af84f5e6dc89b47c10e76309767096e7b35745d3a533ddb4,smd_2022_1A09,Jake Knoll,2024-08-02,,Pulled Papers for Ballot
ed20d79db48727e2b9a5269d7a23f9ce6308aad84a8414113039fbda,smd_2022_1A10,Billy Easley Ii,2024-07-01,2024-07-26,Filed Signatures
680913792e315d7844409c07466779e1eae7cc76aad239a4862d8cda,smd_2022_1A10,Vida Rangel,2024-07-01,,Pulled Papers for Ballot
4dbea98a8d3151fcaf773c43b4f3bc25dfc405666a2125af28c27a1a,smd_2022_1B01,Matt Fay,2024-07-10,,Pulled Papers for Ballot
4bc4fd157a2fb33df96c0852476037d21321d7a900bb363004474880,smd_2022_1B02,Frank Chauvin,2024-07-19,,Pulled Papers for Ballot
9a82b938daa796d1bffbc98fb21d6d67a1886fa0e3ea710529d1de70,smd_2022_1B02,Francois Barrilleaux,2024-07-15,,Pulled Papers for Ballot
30b46448cbeac8dff4ae2b9c7a2353a5b1d646d5a134c5c5083bbcb1,smd_2022_1B03,Nianyi Hong,2024-07-19,,Pulled Papers for Ballot
bb7decd9e9e5de59f945ff02510fe21892471ddc874b1b021bcad9d3,smd_2022_1B03,S. Gideon Sanford,2024-07-18,,Pulled Papers for Ballot
0433b6e2700daf9ed22fb77ae0022a8c7097970063b79a91f315cc43,smd_2022_1B03,Jamie S. Sycamore,2024-07-01,2024-07-30,Filed Signatures
34eaff587abdef0a4ad73671288634cd47f05b72fb5247c0bfad6b59,smd_2022_1B03,J. Swiderski,2024-07-01,,Pulled Papers for Ballot
132c8a18535618ae1bac321364f775b6e2eb3f7060089afb0489e681,smd_2022_1B04,Aaron Lemon-Strauss,2024-07-31,,Pulled Papers for Ballot
54149f78ce9101093ebd2c5478c88d754298c74388ada9254b71f4e5,smd_2022_1B05,Alan Kensek,2024-07-05,,Pulled Papers for Ballot
54e85cbde08600cafacd210876f29e8cec5f250d186ea57deb5b5256,smd_2022_1B06,Miguel Trindade Deramo,2024-07-25,,Pulled Papers for Ballot
03868e349ec05bb8537dc0c5c5f8c43028938e4083e67e03b07502d3,smd_2022_1B07,Matthew Holden,2024-08-02,,Pulled Papers for Ballot
8b0c72ed26cef58953f9c4d03da3eac3e7c01a912acfa491487a5872,smd_2022_1B08,Sabel Harris,2024-07-03,,Pulled Papers for Ballot
d5af83003e22f109c1c77eb57bedc662945001983c9fe34d3e6a015b,smd_2022_1B09,Stephen Hanrahan,2024-07-11,,Pulled Papers for Ballot
69d5f86f02ad8412110c945e32ddeaec26de5e3e535167c274471d67,smd_2022_1C01,Daniel Michelson-Horowitz,2024-07-10,2024-08-02,Filed Signatures
47f32d8f0735dc98d5a752b91441e10291249b4193156b1333730cab,smd_2022_1C03,Peter Wood,2024-07-01,2024-07-12,Filed Signatures
7dcee82478cd030079d38fbcc776521e27c65927d4556245e4304d77,smd_2022_1C04,Steven Segerlin,2024-08-02,,Pulled Papers for Ballot
2033ca5e8f5f116455f2c3c81fcaf9805d7ca4dbc149f3caf9568c9d,smd_2022_1C04,Marie-Elise Diamond,2024-08-01,,Pulled Papers for Ballot
9055c087435f92156535862671d1c39f16152d73bacb5d85815708bd,smd_2022_1C04,Joe Van Wye,2024-08-02,,Pulled Papers for Ballot
56847c2381b568efd5956a9206a24cfe4d15a089fca61dbc661edc93,smd_2022_1C05,Scott Olesen,2024-07-17,,Pulled Papers for Ballot
36b19cbdc31f6eab910f3fdd9128c3b0d3269444657052e1a79e43ce,smd_2022_1C06,Lynda Laughlin,2024-07-03,,Pulled Papers for Ballot
30454303cd34f2f7a9eed490b61b419d1961bb5be7d5a4c4ed2d6fa5,smd_2022_1C09,John Jones,2024-07-18,,Pulled Papers for Ballot
5b08a32c04bf74444aefb9007e423b60ce60eb767270ebea68b5149b,smd_2022_1C09,Katherine Swanson,2024-07-03,2024-07-16,Filed Signatures
ad79582292ae63826f90798b5e6b273a2ab7a879e17f7c97925a6c43,smd_2022_1D01,Jay Falk,2024-07-22,,Pulled Papers for Ballot
