candidate_id,person_id,election_year,dcboe_hash_id,smd_id,candidate_name,manual_status,manual_source,write-in winner according to DCBOE,candidate_source_description,manual_source_link,manual_updated_at,dcboe_status,candidate_status,publish_candidate,candidate_source,candidate_source_link,match_to_dcboe,pickup_date,filed_date,dcboe_source,dcboe_source_link,dcboe_updated_at,updated_at
50516,10330,2022,,smd_2022_3B06,Ben Bergmann,Declared Intention to Run,,,,,2022-07-13,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-13
50519,11356,2022,,smd_2022_7D07,Brian Voorhees,Declared Intention to Run,,,,,2022-07-14,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-14
50521,11358,2022,,smd_2022_1B04,Santiago Lakatos,Declared Intention to Run,,,,,2022-07-14,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-14
50522,10196,2022,,smd_2022_6B06,Chander Jayaraman,Declared Intention to Run,,,,,2022-07-14,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-14
50524,10333,2022,,smd_2022_3E01,Matthew Cohen,Declared Intention to Run,,,,,2022-07-16,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-16
50525,11359,2022,,smd_2022_2G04,Amanda Gore,Declared Intention to Run,,,,,2022-07-17,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-17
50526,10380,2022,,smd_2022_6A06,Robb Dooling,Declared Intention to Run,,,,,2022-07-17,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-17
50528,10605,2022,,smd_2022_6B08,Edward Ryder,Declared Intention to Run,,,,,2022-07-18,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-18
50532,10627,2022,,smd_2022_3F05,James Tandaric,Declared Intention to Run,,,,,2022-07-19,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-19
50535,11363,2022,,smd_2022_1B09,Tucker Jones,Declared Intention to Run,,,,,2022-07-19,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-19
50539,10322,2022,,smd_2022_3C03,Janell Pagats,Declared Intention to Run,,,,,2022-07-20,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-20
50542,10366,2022,,smd_2022_5D05,Salvador Sauceda-Guzman,Declared Intention to Run,,,,,2022-07-20,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-20
50546,11370,2022,,smd_2022_3E04,Thomas Marabello,Declared Intention to Run,,,,,2022-07-21,Not on DCBOE List,Declared Intention to Run,True,,,False,,,,,,2022-07-21
