candidate_name,dcboe_hash_id,smd_id
Billy Easley,535506ac27876a3d8309f3853dc0eb532e9a883ef52fbd41ab6057ac,smd_2022_1A10
Greg Boyd,3d185c3de0d3903144c9270ab43bb6fd327f2ba67920be69456f282b,smd_2022_1D05
Mike Mclaughlin,68ea31124a2830283917d8160cc1464beda8003c4e4e9b8a1fcb86d6,smd_2022_1E04
Matt Johnson,d4d78df60dbdd91376f7fce91534e1a9d856fc96bea70a918229da98,smd_2022_2B06
Rebecca Strauss,bbcfa048c8b2f7fea30fd996c56ef23ec697135161e58c74a5970408,smd_2022_2C02
Hans B. Miller,c8b6837a97db47ca166b78b94bf03f9dc0ed6e456604f32fff5d70f9,smd_2022_3A03
Diego Rojas,572df650e57eb9582d3d3bc85f874cb363e87901d6f2ed2c01683761,smd_2022_5A04
Shawn Nelson,142e3b4c7e02b8818e161cb1ece059f7deda2556502fa8dd0e56df84,smd_2022_5C04
J. Peter Loftus,4dcd136f267c14222255826bbe1f2ae49026ce7bfb7c3e568c1c75e5,smd_2022_5D02
Jill Perry,64d97b5d6679ef5c1089a46badf4050cdcd2477582fa04342afb6027,smd_2022_5D07
VíCtor De LeóN,dcd221927a59f29cfd742a52de8dad6364599dc00bace0dd7a394de8,smd_2022_6D05
Donna Arrendell,84d7307f2ddda3bef276280b9e48d1885cfab2a95b39660bec0f9b9e,smd_2022_6D06
Tiye Kinlow,fbd77f4433c1abcfd35556a4a21f2c9c25b2af2e27afe4e80b79f170,smd_2022_7B07
Julie Levy,93a1827e8ccf427cd5d7535dd50d374391354af53bab30ec34f3fe73,smd_2022_7C04
Kimberly Little,fbba2c7922eee5cd7e69ea0a8a80d8480030d99b59571d91d410b7eb,smd_2022_8B04
"Myeasha ""My Ty"" Smith",bb9d1bdd5bc39d1dd706b4846ca54c7df128b162a0f8bda8b4cd91a8,smd_2022_8C02
Shayla Mack,8742cd088f7dbdfea76fe2e5ccbae4c908fad589030cd19768c61664,smd_2022_8E02
