candidate_id,person_id,dcboe_hash_id,smd_id,candidate_name
50317,10468,8648476a327d9c9b0ba2ee6e8d87da213a55b35133586715964a78ac,smd_1B01,Larry Handerhan
50318,10469,f73ed601b0fed32abd48d88c6dd9c7848f24f41fec37dcc2d1b67769,smd_1B12,Dan Wittels
50319,10470,5b2b5939c868d24e86c25219b01b29b48a2c93309c7022c87c3c020c,smd_2A03,John P. George
50320,10471,542e36607206a53f85a4de9579bad504cfeec7762381affc64ce1265,smd_2B07,Michael Scott McKernan
50321,10472,dfa8dd148fc1b07b520f5810b610ad83c90a712d44151eae9c2836f5,smd_2F03,Michelle Yan
50322,10097,761c87ce3fe57043cfc7ca975f35f4376d8c7b949cdf8299ad9147ec,smd_3E02,Amy Hall
50323,10098,67ccdf033112db6018f4442e2e44abd558247f8c14112f1a40063c8d,smd_3E03,Jonathan Bender
50324,10118,bf2b3f352097651b620ece320122541cc0c41bc52ffb0ef6420eae3b,smd_4A06,Candace Tiana Nelson
50325,10473,fa7f68303189e0c58a0bad751248316b598e9c14f1d3637ab782347b,smd_4C07,Jacob Mason
50326,10474,e5fdb1923d3b6022c6bca1277bcee57b656517494ff728c9ac17bf3d,smd_5E01,Michael Braeuninger
50327,10251,e8e364f4a21567a96d96dd05ccc659865eebf2c1395e2bc28725becb,smd_8A02,Barbara Clark
50328,10475,90918b2597362d33bfc17ca233bdaac646f1f114b5b9ed64c876cdf1,smd_8B03,Joseph B. Johnson
50329,10476,a0c9e3ccebab90fbfdd9f8476fe56780a9524188f4fd4df61c3d4d88,smd_8D06,Alyse Newhouse
