smd_id,Name,official_name,is_vacant,is_chairperson,oanc_hash_id
smd_1A01,Layla Bonnot,Layla Bonnot,False,False,d5b986b222dbb126c6831b15a57ef579e2fa48ce268c54f5b9acd4a4
smd_1A02,Dieter Lehmann Morales,Dieter Lehmann Morales,False,False,a8c58f17d6df64440f9a97bf8d89f1455bc71c0692a201b936ce87a6
smd_1A03,Carlo Perri,Carlo Perri,False,False,6c8bcac8a8928bb2b2cc83dff1cf4bc5b08faacb9eab05d738a70968
smd_1A04,Chris Hall,Chris Hall,False,False,a32a34f7b179ec8e35c6cd991b58046cba1064517a565ca7c3a8e6e5
smd_1A05,Christine Miller,Christine Miller,False,False,d6e69bd7a5f2f2233f8ebf8c5f243f7547176824ff4037497662026f
smd_1A06,Brandolon Barnett,Brandolon Barnett,False,False,8e91677e627db09a7d92e7597b8824ff4d4e6a7709dbfab051e1bd85
smd_1A07,Mukta Ghorpadey,Mukta Ghorpadey,False,False,89b5b4fb4376addc23a80ff5a094c825e53c3c04042c21b0d8531ec9
smd_1A08,Kent C. Boese,Kent C. Boese,False,False,d52a968a1708a3cab158d1911e3f03fbeadcb2c6969a2dc17b7090ee
smd_1A09,Michael Wray  Chairperson,Michael Wray,False,True,f3e7d963e470266fb14d0e61886ef581cfd4cb0d3fb1b9232a2b840b
smd_1A10,Rashida Brown,Rashida Brown,False,False,70481f78115bc50ecdb7d67010bf40c07b40ec0f2cbb9c34b39b5cd1
smd_1A11,Dotti Love Wade,Dotti Love Wade,False,False,add1b8b04e5d766a0f02c2a30045ef2fe6cc5a7c5e1644da7406331f
smd_1A12,Vacant,Vacant,True,False,1dd5daf664e5308e9906dec1a3128baf82b5cb66abfd12463cd8ded0
smd_1B01,Larry Handerhan,Larry Handerhan,False,False,fbf34962d6b8ed61538de949f5d53df87f422b94b5d24bc596393c3e
smd_1B02,Dan Orlaskey,Dan Orlaskey,False,False,8e78ba3d67b875bfd91f44926448b0058dcc52904e6bb59d4f33ea16
smd_1B03,Muhsin Boe Umar,Muhsin Boe Umar,False,False,4dd24bffc9b1c1d342a81480ce40456fe69dffa6fae8998668d97b4a
smd_1B04,Deborah Thomas,Deborah Thomas,False,False,f21771765ae7ee0d133bbefa54303a899681ceee2b6dd3bf4fae4b3d
smd_1B05,Alan Kensek,Alan Kensek,False,False,938f8f59c590fb392a8f3105600872618c369f3e98e87ec67a0d36bb
smd_1B06,Judy Floy,Judy Floy,False,False,184c2d322507edfb1a4e8fcf2355047e1789043f8f9276f53e4d62b4
smd_1B07,Max Ewart,Max Ewart,False,False,c9d915bf3ecb56cab0f7dc35703c26ae633f0ddda7267f218461ce81
smd_1B08,Eric Behna,Eric Behna,False,False,09005d89976d35c0ac80710cd95d13b608a531d673932574cff55de4
smd_1B09,James A. Turner  Chairperson,James A. Turner,False,True,6edbf543aa357eccea7ca518eec5253498cdd8af716198179e6e430b
smd_1B10,Vacant,Vacant,True,False,5a395a372f92fa08146b56afeb3b597fc48adf1f4e946ed262f5b5b7
smd_1B11,Amanda Farnan,Amanda Farnan,False,False,9c5db950d967a2bc863defe676534f45e52019b4ad308b36f7ce3453
smd_1B12,Sabel Harris,Sabel Harris,False,False,e0a68ef7b9353ae648fc4fca075a9c28f98d20aa6d97fcd264723f34
smd_1C01,Howard Bauleke,Howard Bauleke,False,False,c813303ac6855295952b34ad203c702845d7a0950fc231f270f6b5ad
smd_1C02,Vacant,Vacant,True,False,077e411d066f7e76ba040ad28b9017905e7bf0a4afddc325fbe3d4c3
smd_1C03,Peter Wood,Peter Wood,False,False,9c5274f5ad604279f871fa28067f7277cbb41223c4b23f7c0f410ba3
smd_1C04,Meghan Faulkner,Meghan Faulkner,False,False,9f89ae0bbce175c14111ce2fe849c2be7947b06509c16f72ab9dd85b
smd_1C05,Deb Felsenthal,Deb Felsenthal,False,False,f2ffa1d17f826e855ce0af405ea0cc137d8fd5c26ab67942b050330b
smd_1C06,Benjamin Hart Butz,Benjamin Hart Butz,False,False,bfe2378d138fd178bfe4bc1a88866f3a214aae6df3d7b1b75c1e984c
smd_1C07,Jake Faleschini,Jake Faleschini,False,False,8e55b575c9c8989c8d201d8c60302bba29989586b2b5fe6c8f2b8b5b
smd_1C08,Fiona Clem  Chairperson,Fiona Clem,False,True,67d63ebfa7387edcf7b0bfd9ded23eb11d1eeccfcd1023d93e9a5ebc
smd_1D01,Jason Hamacher,Jason Hamacher,False,False,fb1c32c0c6a835607543d5772c18ea615a6488582e2b5dd092ea1d69
smd_1D02,Robin Sandenburgh,Robin Sandenburgh,False,False,edb89531d68f8b1a8bd18032e7c90c1b54c2227d9786b5256942f46d
smd_1D03,Jack McKay,Jack McKay,False,False,1cbed20a5ab2f91d1bad4434bd56e16729edfb52e2687f31a1c72b19
smd_1D04,Matthew Brandeburg  Chairperson,Matthew Brandeburg,False,True,073d82a9efd75932ab3ffb56d911d8cd868afe730488030d3aea0ee5
smd_1D05,Chelsea A. Allinger,Chelsea A. Allinger,False,False,92966067fd233830e80fc0b528d1b4f63981a9f7ba265f43cbe4ca6f
smd_2A01,Yannik Omictin,Yannik Omictin,False,False,af586ddf9f550beb73c4a3c43fcaac4df6706c8764faff1f938ea02c
smd_2A02,Joel Causey  Chairperson,Joel Causey,False,True,d6aa0de3b15d6ea7b5ec0ad578aa90df2138abc5d4337d2dd7d78f10
smd_2A03,Trupti J. Patel,Trupti J. Patel,False,False,d63b69ae3883820d64f886f19a75b904999ca533778214b61d398919
smd_2A04,Donna Barbisch,Donna Barbisch,False,False,10d010ed73e37c8de0965269897d1f04b39d808f4ca496ca1afd78a2
smd_2A05,Evelyn Hudson,Evelyn Hudson,False,False,b4ed0d80a70abe042be95f13e7bf391812fd2511de161471ef6969ab
smd_2A06,Jeri Epstein,Jeri Epstein,False,False,5bf72ef99025e80ce6856e641eb53321b49672a43f1916a247bb1b39
