smd_id,Name,oanc_name,is_vacant,is_chairperson,oanc_hash_id
smd_2022_1A01,Jaspal BhatiaTreasurer,Jaspal Bhatia,False,False,e102c251d2d896949688627f835714814009458ae6d4a008998949ed
smd_2022_1A02,Dieter Lehmann Morales Vice Chairperson,Dieter Lehmann Morales,False,True,a8c58f17d6df64440f9a97bf8d89f1455bc71c0692a201b936ce87a6
smd_2022_1A03,Carlo Perri,Carlo Perri,False,False,6c8bcac8a8928bb2b2cc83dff1cf4bc5b08faacb9eab05d738a70968
smd_2022_1A04,Jeremy Sherman Chairperson,Jeremy Sherman,False,True,622d3a5d934b451a9e68d5fc095967b3a0f92306c11f17f2b27adf64
smd_2022_1A05,Christine Miller,Christine Miller,False,False,d6e69bd7a5f2f2233f8ebf8c5f243f7547176824ff4037497662026f
smd_2022_1A06,Anthony Thomas-Davis,Anthony Thomas-Davis,False,False,95ca1a2369cc2c19da0d69f2bb6d4f01a489f44be084dbf64c4c7f0a
smd_2022_1A07,Monte AchenbachSecretary,Monte Achenbach,False,False,b1b529ea1dc6bcdfe941dccb5582a6d38bb49be8faac1c5d1fed60f1
smd_2022_1A08,Shira Davidson,Shira Davidson,False,False,82c8b4952f8f4a4bc64e50659a020bc65ec7dab20486dfa3c65f4511
smd_2022_1A09,Daniella Kelley,Daniella Kelley,False,False,b08a3667cb74efdee0465f7f5d44ec3ac11e5ba85983b3681fe2a440
smd_2022_1A10,Billy Easley,Billy Easley,False,False,1e31fd5eef7242837ed76a44d023856e685fd2e33600942ed41cfce5
smd_2022_1B01,Matt FaySecretary,Matt Fay,False,False,7c3c7e700ebc81d544c98a854e460bc6f1a2554b61646e264e90f514
smd_2022_1B02,Francois Barrilleaux,Francois Barrilleaux,False,False,3033a0c52a170f673534cd2db76e63d9209e7f0c0ecda9f7f364a75f
smd_2022_1B03,Jamie S. Sycamore,Jamie S. Sycamore,False,False,23c7c09862c53eca7c6e026a2e29f8b462870c7872f954ae367fba9f
smd_2022_1B04,Aaron Lemon-StraussTreasurer,Aaron Lemon-Strauss,False,False,774c4ab8c5dba6f031c42000657527be15b61711666c7d0ae4e78a32
smd_2022_1B05,Alan Kensek,Alan Kensek,False,False,938f8f59c590fb392a8f3105600872618c369f3e98e87ec67a0d36bb
smd_2022_1B06,Miguel Trindade DeramoChairperson,Miguel Trindade Deramo,False,True,bb8a384bdf190bf3c4ef81195a0af6c0e5d4256563951218f901712a
smd_2022_1B07,Matthew Holden,Matthew Holden,False,False,2b2298895772d21b250aec26c10fee836584be42bbc334fa809ed235
smd_2022_1B08,Sabel HarrisVice Chairperson,Sabel Harris,False,True,a9a4d00bb99284a359ed0e6abe2bfd26dfff4106c0f20c497a78db94
smd_2022_1B09,Stephen Hanrahan,Stephen Hanrahan,False,False,9c37529ed06c16004e25cbfb5209082239c8bc79989221dfdc56b94f
smd_2022_1C01,Howard Bauleke,Howard Bauleke,False,False,c813303ac6855295952b34ad203c702845d7a0950fc231f270f6b5ad
smd_2022_1C02,Isabel Clements,Isabel Clements,False,False,2c74184f610fb13115c55bcdf42f9caec8e545bf961f599d15189bc5
smd_2022_1C03,Peter WoodChairperson,Peter Wood,False,True,9c5274f5ad604279f871fa28067f7277cbb41223c4b23f7c0f410ba3
smd_2022_1C04,Marie-Elise Diamond,Marie-Elise Diamond,False,False,6bb8be47f3332ea064e95b7d13f6aa44f44e4b3ad55787591679db2b
smd_2022_1C05,Scott OlesenTreasurer,Scott Olesen,False,False,40bfebf66a82677033ab4945cfe2a9a7204eb5c59ff32b6fd39eddf5
smd_2022_1C06,Lynda LaughlinVice Chairperson,Lynda Laughlin,False,True,696edf104837545d69283fe861a5b16441185e809e31a6762ecd01bc
smd_2022_1C07,Jean Evans,Jean Evans,False,False,486f4a2679abbf74d29b728c2f30c6a0714bb390370e8a25a7efb39f
smd_2022_1C08,David Fucillo,David Fucillo,False,False,5c5957670eb9eda518cbc81ae23edb7cd254509bed1874a024a4c881
smd_2022_1C09,Katherine Swanson-PalmerSecretary,Katherine Swanson-Palmer,False,False,cc323430166a2318e3ce5d8ce6438af4517532675e012a0cd409ff35
smd_2022_1D01,Jay Falk,Jay Falk,False,False,d7c9ff57fe40e4cd8c230cd3967366a9d56fae686770bcbef43ddd2f
smd_2022_1D02,Susan PatrickSecretary,Susan Patrick,False,False,ec4f4ca9dc0ce980da1da427771c9d3978fa4ab38a3689ac570258b4
smd_2022_1D03,Erika Nunez,Erika Nunez,False,False,e144d25bf66fa3ab66e2ee252d58207f482a29ef59e4b620361777d9
smd_2022_1D04,Melissa WyersTreasurer,Melissa Wyers,False,False,ef4aa452925c66bed396e5b874302002220ba9d87c7769cef500cf5b
smd_2022_1D05,Omar ParbhooVice Chairperson,Omar Parbhoo,False,True,78d3fc81949f87f34ff039426cbc5ea056cab897ff772c8c93ca6eb2
smd_2022_1D06,Angela AllisonChairperson,Angela Allison,False,True,4a21d15d57628ce7395b6fb49ef3a0219f07bccfba2f426a18251e00
smd_2022_1D07,Gary Decker,Gary Decker,False,False,42630815e16d7f773395e3f7ece8200b3381da65c0d19f4e3d3ab668
smd_2022_1E01,Brad HowardSecretary,Brad Howard,False,False,52f8d0f4bbc9da0e50cadb3741bf683546bcbf5748a30c49567b6971
smd_2022_1E02,Audra GrantVice-Chairperson,Audra Grant,False,True,0fa0818008c30390a976d6ec4be889c9db51549672d720748589f466
smd_2022_1E03,Phillipa HawkerTreasurer,Phillipa Hawker,False,False,d9b3ced3c1c4d7ef8b3aa9bb3b8587ed7daf1b30f91c4a972efda68b
