smd,full_name,first_name,middle_name,last_name,suffix,is_chair
1A01,Layla Bonnot,Layla,,Bonnot,,
1A02,Teresa A. Edmondson,Teresa,A.,Edmondson,,
1A03,Zach Rybarczyk,Zach,,Rybarczyk,,
1A04,Matthew Goldschimdt,Matthew,,Goldschimdt,,
1A05,Christine Miller,Christine,,Miller,,
1A06,Angelica Castañon,Angelica,,Castañon,,
1A07,Jen Bundy,Jen,,Bundy,,
1A08,Kent C. Boese,Kent,C.,Boese,,TRUE
1A09,Michael Wray,Michael,,Wray,,
1A10,Rashida Brown,Rashida,,Brown,,
1A11,Dotti Love Wade,Dotti,Love,Wade,,
1A12,Jason Clock,Jason,,Clock,,
1B01,Anita Norman,Anita,,Norman,,
1B02,Dan Orlaskey,Dan,,Orlaskey,,
1B03,Sedrick Muhammad,Sedrick,,Muhammad,,
1B04,Deborah Thomas,Deborah,,Thomas,,
1B06,Jennifer Bristol,Jennifer,,Bristol,,
1B07,Marcia Shia,Marcia,,Shia,,
1B08,Joshua R. Mater,Joshua,R.,Mater,,
1B09,James A. Turner,James,A.,Turner,,TRUE
1B10,Danny Delaney,Danny,,Delaney,,
1B11,Robb Hudson,Robb,,Hudson,,
1B12,Dan Winston,Dan,,Winston,,
1C01,Amir Irani,Amir,,Irani,,TRUE
1C03,Ted Guthrie,Ted,,Guthrie,,
1C04,John V. Zottoli,John,V.,Zottoli,,
1C05,Damiana Dendy,Damiana,,Dendy,,
1C06,Michaela Wright,Michaela,,Wright,,
1C07,Japer Bowles,Japer,,Bowles,,
1C08,Chris Jackson,Chris,,Jackson,,
1D01,Jon Stewart,Jon,,Stewart,,
1D02,Robin Sandenburgh,Robin,,Sandenburgh,,TRUE
1D03,Jack McKay,Jack,,McKay,,
1D04,Yasmin Romero-Latin,Yasmin,,Romero-Latin,,
1D05,Chelsea A. Allinger,Chelsea,A.,Allinger,,
2A01,Patrick Kennedy,Patrick,,Kennedy,,
2A02,Nicole Goldin,Nicole,,Goldin,,
2A03,Trupti J. Patel,Trupti,J.,Patel,,
2A04,William Kennedy Smith,William,,Kennedy Smith,,
2A05,Philip J. Schrefer,Philip,J.,Schrefer,,
2A06,Jeri Epstein,Jeri,,Epstein,,
2A07,Detrick Campbell,Detrick,,Campbell,,
2A08,James Harnett,James,,Harnett,,TRUE
2B01,Matthew H Sampson,Matthew,H.,Sampson,,
2B02,Daniel Warwick,Daniel,,Warwick,,TRUE
2B04,Aaron Landry,Aaron,,Landry,,
2B05,Randy D. Downs,Randy,D.,Downs,,
2B06,Mike Silverstein,Mike,,Silverstein,,
2B07,Kari Cunningham,Kari,,Cunningham,,
2B08,Beverly Schwartz,Beverly,,Schwartz,,
2B09,Ed Hanlon,Ed,,Hanlon,,
2C01,Michael D. Shankle,Michael,D.,Shankle,,
2C02,Jamaal T. Burton,Jamaal,T.,Burton,,
2C03,Kevin Wilsey,Kevin,,Wilsey,,TRUE
2D01,David R. Bender,David,R.,Bender,,TRUE
2D02,Jeff Nestler,Jeff,,Nestler,,
2.00E+01,Kishan Putta,Kishan,,Putta,,
2.00E+02,Joe Gibbons,Joe,,Gibbons,,
2.00E+03,Rick Murphy,Rick,,Murphy,,TRUE
2.00E+04,Anna Landre,Anna,,Landre,,
2.00E+05,Lisa Palmer,Lisa,,Palmer,,
2.00E+06,Gwendolyn Lohse,Gwendolyn,,Lohse,,
2.00E+07,Elizabeth H. Miller,Elizabeth,H.,Miller,,
2.00E+08,Matias Burdman,Matias,,Burdman,,
2F01,Jason Forman,Jason,,Forman,,
2F02,John Guggenmos,John,,Guggenmos,,
2F03,John Bottino,John,,Bottino,,
2F04,John Fanning,John,,Fanning,,TRUE
2F05,Madeleine G. Stirling,Madeleine,G.,Stirling,,
2F06,Ian D. Simon,Ian,D.,Simon,,
2F07,Kevin J. Sylvester,Kevin,J.,Sylvester,,
2F08,Janice Ferebee,Janice,,Ferebee,,
3B01,Ann Lane Mladinov,Ann,,Lane Mladinov,,
3B02,Jackie Blumenthal,Jackie,,Blumenthal,,
3B03,Melissa Lane,Melissa,,Lane,,
3B04,Mary C. Young,Mary,C.,Young,,
3B05,Brian G. Turmail,Brian,G.,Turmail,,TRUE
3C01,Lee Brian Reba,Lee Brian,,Reba,,
3C02,Jason Fink,Jason,,Fink,,
3C03,Jimmy Dubois,Jimmy,,Dubois,,
3C04,"Robert ""Beau"" Finley","Robert ""Beau""",,Finley,,
3C06,Angela Bradbery,Angela,,Bradbery,,
3C07,Maureen Kinlan Boucher,Maureen,,Kinlan Boucher,,
3C08,Victoria Gersten,Victoria,,Gersten,,
3C09,Nancy J. MacWood,Nancy,J.,MacWood,,TRUE
3D01,Chuck Elkins,Chuck,,Elkins,,TRUE
3D02,Troy Kravitz,Troy,,Kravitz,,
3D03,Paige Ela,Paige,,Ela,,
3D04,Michael Sriqui,Michael,,Sriqui,,
3D05,Alan Karnofsky,Alan,,Karnofsky,,
3D06,Virginia Gorsevski,Virginia,,Gorsevski,,
3D07,Taylor Berlin,Taylor,,Berlin,,
3D08,Christine Warnke,Christine,,Warnke,,
3D09,J.P. Szymkowicz,J.P.,,Szymkowicz,,
3D10,Jeremy Del Moral,Jeremy,,Del Moral,,
3.00E+01,Greg Ehrhardt,Greg,,Ehrhardt,,
3.00E+02,Amy B. Hall,Amy,B.,Hall,,
3.00E+03,Jonathan Bender,Jonathan,,Bender,,TRUE
3.00E+04,Tom Quinn,Tom,,Quinn,,
3.00E+05,Jonathan McHugh,Jonathan,,McHugh,,
3F01,David Cristeal,David,,Cristeal,,
3F02,Carolinn A Kuebler,Carolinn,A.,Kuebler,,
3F03,Naomi Rutenberg,Naomi,,Rutenberg,,
3F04,Leah Frelinghuysen,Leah,,Frelinghuysen,,
3F05,Andrea Molod,Andrea,,Molod,,
3F06,Monika Nemeth,Monika,,Nemeth,,TRUE
3G01,Abraham Clayman,Abraham,,Clayman,,
3G02,Chanda Tuck Garfield,Chanda,,Tuck Garfield,,
3G03,Randy Speck,Randy,,Speck,,TRUE
3G04,Rebecca Maydak,Rebecca,,Maydak,,
