person_id,full_name,twitter_link,facebook_link,website_link
10001,Layla Bonnot,https://twitter.com/LaylaBonnot,,https://www.votelayla.com/meet-layla
10002,Teresa A. Edmondson,,https://www.facebook.com/Teresa4dc/,http://teresaedmondsonanc.com/
10003,Zach Rybarczyk,https://twitter.com/ANCzach,,
10004,Matthew Goldschmidt,,,
10005,Christine Miller,https://twitter.com/MillerANC1A05,,https://christinemillerdc.com/
10006,Angelica Castañon,https://twitter.com/angelicachanel,https://www.facebook.com/AngelicaANC1a6/,https://www.angelicaanc1a6.com/
10007,Jen Bundy,,,
10008,Kent C. Boese,https://twitter.com/kentboesedc,,
10009,Michael Wray,https://twitter.com/mwraydc,,
10010,Rashida Brown,https://twitter.com/rashidabrowndc,https://www.facebook.com/RashidaBrownForANC1A10/,
10011,Dotti Love Wade,,,
10012,Jason Clock,https://twitter.com/jasonclock,,
10013,Anita Norman,https://twitter.com/anc1b01,,
10014,Dan Orlaskey,https://twitter.com/danielorlaskey,,https://www.facebook.com/dan4anc/
10015,Sedrick Muhammad,,,
10016,Deborah Thomas,,,
10017,Jennifer Bristol,https://twitter.com/jenbristol_,,https://www.jenbristoldc.com/
10018,Marcia Shia,https://twitter.com/loridcward1,,
10019,Joshua Ryan Mater,https://twitter.com/ANC1B08,,
10020,James A. Turner,,,
10021,Danny Delaney,https://twitter.com/_dannydelaney,,
10022,Robb Hudson,https://twitter.com/robbhudson,https://www.facebook.com/robbfordc/,
10023,Dan Winston,https://twitter.com/dan4dc,,
10024,Amir Irani,https://twitter.com/iraniamir,,
10025,Ted Guthrie,,,
10026,John V. Zottoli,https://twitter.com/JohnZottoli,,
10027,Damiana Dendy,https://twitter.com/laborisforever,,
10028,Michaela Wright,https://twitter.com/MichaelaWright_,,
10029,Japer Bowles,https://twitter.com/JaperBowles,,
10030,Chris Jackson,,,
10031,Jon Stewart,https://twitter.com/JonStewartANC1D,,
10032,Robin Sandenburgh,,,
10033,Jack McKay,https://twitter.com/dc_jack,,http://dcjack.org/
