smd,longitude,latitude
1A01,-77.03412954884507,38.9361129455516
1A02,-77.03443229412974,38.93381368292044
1A03,-77.03459083716183,38.927648625531766
1A04,-77.0311727869493,38.9342904126275
1A05,-77.03437471409441,38.93071637222805
1A06,-77.02965535110211,38.93012432830213
1A07,-77.027875841542,38.933781404352494
1A08,-77.02219213139354,38.934887728301
1A09,-77.02351634789042,38.93190894736889
1A10,-77.02166164328605,38.929723141530296
1A11,-77.02865920845056,38.928006865303836
1A12,-77.03292099522804,38.92631348812985
1B01,-77.01871025557955,38.91667686335638
1B02,-77.02583636559396,38.91688334300693
1B03,-77.02621602260649,38.92355725475987
1B04,-77.03095527188589,38.91935160005841
1B05,-77.03483424130535,38.92041720408242
1B06,-77.03096933498597,38.92213876952642
1B07,-77.03461964771014,38.92447101178079
1B08,-77.03134674854333,38.92411221072113
1B09,-77.0259493169625,38.926160134138954
1B10,-77.0172048396501,38.92460304126788
1B11,-77.02138501886327,38.92088636910898
1B12,-77.03091224790198,38.91643081394137
1C01,-77.04444348654374,38.917183550341555
1C02,-77.04735968381883,38.920824953085834
1C03,-77.04376769409964,38.920610996887596
1C04,-77.04560239898342,38.92527134248838
1C05,-77.03989998646709,38.926483649462064
1C06,-77.03832945359993,38.92413838262572
1C07,-77.04084278521914,38.92110660062051
1C08,-77.03794076400018,38.91954993384308
1D01,-77.03942577154544,38.932385847363236
1D02,-77.03768010617725,38.9360753293596
1D03,-77.04379954261577,38.93391521230428
1D04,-77.0376930132393,38.93091453218829
1D05,-77.04278823275546,38.929610779360566
2A01,-77.04425137504373,38.88557682952
2A02,-77.05257873606229,38.905384180699755
2A03,-77.05401822536216,38.90251432998385
2A04,-77.05678402451187,38.892922961244686
2A05,-77.05153573367319,38.89747325562728
2A06,-77.04751502580963,38.904136621681126
2A07,-77.04918086500861,38.89943685615581
2A08,-77.0447115314826,38.89882925203753
2B01,-77.0434865204386,38.91394920780471
2B02,-77.04630772875394,38.91034819847536
2B03,-77.04140835231502,38.91220161792288
2B04,-77.03651872987555,38.9126170469346
2B05,-77.03732486139812,38.90486485680034
2B06,-77.04457169776082,38.90471122163943
2B07,-77.04106199401811,38.90919689576196
2B08,-77.0402455885366,38.915917735007525
2B09,-77.03494761033778,38.91546225110191
2C01,-77.02756703949392,38.895662140924145
2C02,-77.01685581010454,38.89937372524932
2C03,-77.017431076156,38.89213329036227
2D01,-77.05233867882647,38.917474799795684
2D02,-77.05165641755474,38.91386124719315
2E01,-77.0749703579302,38.91445708622087
2E02,-77.0684832366928,38.91174072790766
2E03,-77.06592261834037,38.90810279252717
