SMD_ID,Color_Category
1A01,1
1A02,2
1A03,3
1A04,4
1A05,5
1A06,6
1A07,7
1A08,8
1A09,9
1A10,10
1A11,11
1A12,12
1B01,1
1B02,2
1B03,3
1B04,4
1B05,5
1B06,6
1B07,7
1B08,8
1B09,9
1B10,10
1B11,11
1B12,12
1C01,1
1C02,2
1C03,3
1C04,4
1C05,5
1C06,6
1C07,7
1C08,8
1D01,9
1D02,10
1D03,11
1D04,12
1D05,1
2A01,2
2A02,3
2A03,4
2A04,5
2A05,6
2A06,7
2A07,8
2A08,9
2B01,10
2B02,11
2B03,12
2B04,1
2B05,2
2B06,3
2B07,4
2B08,5
2B09,6
2C01,7
2C02,8
2C03,9
2D01,10
2D02,11
2E01,12
2E02,1
2E03,2
2E04,3
2E05,4
2E06,5
2E07,6
2E08,7
2F01,8
2F02,9
2F03,10
2F04,11
2F05,12
2F06,1
2F07,2
2F08,3
3B01,4
3B02,5
3B03,6
3B04,7
3B05,8
3C01,9
3C02,10
3C03,11
3C04,12
3C05,1
3C06,2
3C07,3
3C08,4
3C09,5
3D01,6
3D02,7
3D03,8
3D04,9
3D05,10
3D06,11
3D07,12
3D08,1
3D09,2
3D10,3
3E01,4
3E02,5
3E03,6
3E04,7
3E05,8
3F01,9
3F02,10
3F03,11
3F04,12
3F05,1
3F06,2
3F07,3
3G01,4
3G02,5
3G03,6
3G04,7
3G05,8
3G06,9
3G07,10
4A01,11
4A02,12
4A03,1
4A04,2
4A05,3
4A06,4
4A07,5
4A08,6
4B01,7
4B02,8
4B03,9
4B04,10
4B05,11
4B06,12
4B07,1
4B08,2
4B09,3
4C01,4
4C02,5
4C03,6
4C04,7
4C05,8
4C06,9
4C07,10
4C08,11
4C09,12
4C10,1
4D01,2
4D02,3
4D03,4
4D04,5
4D05,6
4D06,7
5A01,8
5A02,9
5A03,10
5A04,11
5A05,12
5A06,1
5A07,2
5A08,3
5B01,4
5B02,5
5B03,6
5B04,7
5B05,8
5C01,9
5C02,10
5C03,11
5C04,12
5C05,1
5C06,2
5C07,3
5D01,4
5D02,5
5D03,6
5D04,7
5D05,8
5D06,9
5D07,10
5E01,11
5E02,12
5E03,1
5E04,2
5E05,3
5E06,4
5E07,5
5E08,6
5E09,7
5E10,8
6A01,9
6A02,10
6A03,11
6A04,12
6A05,1
6A06,2
6A07,3
6A08,4
6B01,5
6B02,6
6B03,7
6B04,8
6B05,9
6B06,10
6B07,11
6B08,12
6B09,1
6B10,2
6C01,3
6C02,4
6C03,5
6C04,6
6C05,7
6C06,8
6D01,9
6D02,10
6D03,11
6D04,12
6D05,1
6D06,2
6D07,3
6E01,4
6E02,5
6E03,6
6E04,7
6E05,8
6E06,9
6E07,10
7B01,11
7B02,12
7B03,1
7B04,2
7B05,3
7B06,4
7B07,5
7C01,6
7C02,7
7C03,8
7C04,9
7C05,10
7C06,11
7C07,12
7D01,1
7D02,2
7D03,3
7D04,4
7D05,5
7D06,6
7D07,7
7E01,8
7E02,9
7E03,10
7E04,11
7E05,12
7E06,1
7E07,2
7F01,3
7F02,4
7F03,5
7F04,6
7F05,7
7F06,8
7F07,9
8A01,10
8A02,11
8A03,12
8A04,1
8A05,2
8A06,3
8A07,4
8B01,5
8B02,6
8B03,7
8B04,8
8B05,9
8B06,10
8B07,11
8C01,12
8C02,1
8C03,2
8C04,3
8C05,4
8C06,5
8C07,6
8D01,7
8D02,8
8D03,9
8D04,10
8D05,11
8D06,12
8D07,1
8E01,2
8E02,3
8E03,4
8E04,5
8E05,6
8E06,7
8E07,8
