anc,longitude,latitude
1A,-77.02832081294574,38.93161741593653
1B,-77.02419621608686,38.92106847413672
1C,-77.04284492980393,38.92192833742506
1D,-77.04173809959718,38.932277480829924
2A,-77.04771108111849,38.88964749076894
2B,-77.0406475261676,38.908461778241914
2C,-77.02307315815266,38.89433508224173
2D,-77.05199584914544,38.915658997062216
2E,-77.06626211285112,38.908047337306236
2F,-77.02946661563855,38.907350867663425
3B,-77.07711220337627,38.922919741457555
3C,-77.06277344484911,38.929774839104354
3D,-77.0957834341311,38.926304465815704
3E,-77.08505164095291,38.950860619625686
3F,-77.05915441957985,38.94940514393051
3G,-77.05880280857176,38.97006165554683
4A,-77.03831305467362,38.967208033421606
4B,-77.0148370798134,38.965893825861706
4C,-77.02718506200969,38.94522338498788
4D,-77.01824933094815,38.95168414878665
5A,-77.00102715518527,38.94353729951236
5B,-76.98444942941396,38.93554061573327
5C,-76.96987360330252,38.9198451001164
5D,-76.98086017242393,38.90557088585679
5E,-77.00609198092071,38.92021910768771
6A,-76.98637998432255,38.895530243870844
6B,-76.99075762278302,38.8829346643989
6C,-77.00337036771535,38.89818875019281
6D,-77.0201977270389,38.87209935146072
6E,-77.01764257326421,38.90656530959888
7B,-76.96063712842584,38.870075579015186
7C,-76.9261988657454,38.89773047068275
7D,-76.9516938293337,38.90151523035973
7E,-76.93416530891588,38.880070556336705
7F,-76.95231962242431,38.886630012430054
8A,-76.985443120961,38.86672149965176
8B,-76.97469119748904,38.85407883410389
8C,-77.00757966728231,38.849167059539035
8D,-77.02368266495188,38.82254305487748
8E,-76.98578910879105,38.84152927083645
