smd_id,lon,lat
smd_2022_1A01,-77.03488739,38.92573445
smd_2022_1A02,-77.03314326,38.93251411
smd_2022_1A03,-77.03551817,38.92762288
smd_2022_1A04,-77.03090954,38.93420457
smd_2022_1A05,-77.03456109,38.9305724
smd_2022_1A06,-77.02963940000002,38.93048579
smd_2022_1A07,-77.0279631,38.93417219
smd_2022_1A08,-77.03439232,38.92447529
smd_2022_1A09,-77.03061519,38.92678621
smd_2022_1A10,-77.02771195,38.92771764
smd_2022_1B01,-77.01756336,38.91690085
smd_2022_1B02,-77.02449852,38.91589574
smd_2022_1B03,-77.02803412,38.92128883
smd_2022_1B04,-77.03058734,38.91913843
smd_2022_1B05,-77.03224928,38.91936308
smd_2022_1B06,-77.03458108,38.92147463
smd_2022_1B07,-77.03893628,38.91776721
smd_2022_1B08,-77.02994485,38.91610901
smd_2022_1B09,-77.02965674,38.92353438
smd_2022_1C01,-77.04395056,38.91703129
smd_2022_1C02,-77.04672174,38.91900885
smd_2022_1C03,-77.04376576,38.92061001
smd_2022_1C04,-77.04670832,38.92409075
smd_2022_1C05,-77.04241608,38.92493981
smd_2022_1C06,-77.03932642,38.92609165
smd_2022_1C07,-77.04084233,38.91962871
smd_2022_1C08,-77.03845686,38.92003392
smd_2022_1C09,-77.03774502,38.92393393
smd_2022_1D01,-77.04345178,38.93169925
smd_2022_1D02,-77.03820954,38.93621029
smd_2022_1D03,-77.04315297,38.93479352
smd_2022_1D04,-77.03766493,38.92990181
smd_2022_1D05,-77.04034879,38.92920983
smd_2022_1D06,-77.03663269,38.93386957
smd_2022_1D07,-77.03439576,38.93608617
smd_2022_1E01,-77.02139905,38.93486578
smd_2022_1E02,-77.02179819,38.93203566
smd_2022_1E03,-77.02506835,38.93135056
smd_2022_1E04,-77.02149284,38.92871258
smd_2022_1E05,-77.01867327,38.92446123
smd_2022_1E06,-77.02385905,38.92250813
smd_2022_1E07,-77.01534905,38.92062504
smd_2022_2A01,-77.04524929,38.88504169
smd_2022_2A02,-77.05296703,38.90664357
smd_2022_2A03,-77.05427457,38.90245884
smd_2022_2A04,-77.05741032,38.89237694
smd_2022_2A05,-77.05110469,38.89698137
smd_2022_2A06,-77.04864215,38.90537614
smd_2022_2A07,-77.03592859999998,38.89640509
smd_2022_2A08,-77.04703273,38.90167342
smd_2022_2A09,-77.05056106,38.90028862
smd_2022_2B01,-77.04425393,38.91351566
smd_2022_2B02,-77.04631783,38.91044689
smd_2022_2B03,-77.04195431,38.91261767
