smd_id_2022,district_area_2022,smd_id_2012,district_area_2012,overlap_area,overlap_perc,district_rank
smd_2022_1A01,85597.18720842172,smd_1A12,105308.6562928942,50204.95239946414,0.5865257263327993,1.0
smd_2022_1A01,85597.18720842172,smd_1A03,76769.9425019336,18724.720224596265,0.21875391978714437,2.0
smd_2022_1A01,85597.18720842172,smd_1B07,56560.35273380913,16667.37379543079,0.19471870909551248,3.0
smd_2022_1A01,85597.18720842172,smd_1C06,129026.54323991021,0.140788291822857,1.644777082219416e-06,4.0
smd_2022_1A01,85597.18720842172,smd_1C05,84752.91713428807,6.388534687565445e-07,7.463486705480074e-12,5.0
smd_2022_1A01,85597.18720842172,,,1.8671500729782289e-10,2.181321762865736e-15,6.0
smd_2022_1A01,85597.18720842172,smd_1B08,96186.90201614871,5.38712954453735e-17,6.293582441465229e-22,7.0
smd_2022_1A01,85597.18720842172,smd_1B05,136285.25109726485,0.0,0.0,8.5
smd_2022_1A01,85597.18720842172,smd_1B06,148373.71053786358,0.0,0.0,8.5
smd_2022_1A02,90454.73466510409,smd_1A02,112743.37017368639,59312.56384497802,0.6557154146167632,1.0
smd_2022_1A02,90454.73466510409,smd_1A05,157791.31359369113,18799.473848560006,0.20783294449055,2.0
smd_2022_1A02,90454.73466510409,smd_1A04,136804.2461637984,12342.623082666196,0.13645082403218603,3.0
smd_2022_1A02,90454.73466510409,smd_1D01,138365.74090013525,0.07388890027481147,8.168605054049931e-07,4.0
smd_2022_1A02,90454.73466510409,,,8.033872353309105e-10,8.881649349869176e-15,5.0
smd_2022_1A02,90454.73466510409,smd_1A06,141853.3235858808,0.0,0.0,6.0
smd_2022_1A03,65682.3047697429,smd_1A03,76769.9425019336,58045.14011448655,0.8837256901683135,1.0
smd_2022_1A03,65682.3047697429,smd_1A12,105308.6562928942,6958.904053761528,0.10594792734750692,2.0
smd_2022_1A03,65682.3047697429,smd_1C05,84752.91713428807,678.1998635469095,0.01032545776102741,3.0
smd_2022_1A03,65682.3047697429,smd_1D05,280070.08952397347,0.05085551552122056,7.742650885881759e-07,4.0
smd_2022_1A03,65682.3047697429,smd_1A05,157791.31359369113,0.009372161023880743,1.4268928376883186e-07,5.0
smd_2022_1A03,65682.3047697429,smd_1A11,109637.33809772697,0.0005102715442223278,7.768782566494052e-09,6.0
smd_2022_1A03,65682.3047697429,,,1.844837759119866e-17,2.8087287216658483e-22,7.0
smd_2022_1A03,65682.3047697429,smd_1D04,99051.63297306724,0.0,0.0,8.0
smd_2022_1A04,137885.8110432808,smd_1A04,136804.2461637984,124461.2655892389,0.9026401240818892,1.0
smd_2022_1A04,137885.8110432808,smd_1A06,141853.3235858808,13424.19665796732,0.09735734631719009,2.0
smd_2022_1A04,137885.8110432808,smd_1A01,74006.92666921498,0.22483323962068538,1.630575603969235e-06,3.0
smd_2022_1A04,137885.8110432808,smd_1A02,112743.37017368639,0.07430568197520221,5.388928810947668e-07,4.0
smd_2022_1A04,137885.8110432808,smd_1A05,157791.31359369113,0.036280073895229935,2.631168038301057e-07,5.0
smd_2022_1A04,137885.8110432808,smd_1A07,140549.17043054305,0.013376948317789683,9.701468350206687e-08,6.0
smd_2022_1A04,137885.8110432808,smd_4C05,374863.06783400173,6.130977445808287e-08,4.446416494503443e-13,7.0
smd_2022_1A04,137885.8110432808,,,1.8516344525921813e-09,1.3428752665573214e-14,8.0
smd_2022_1A05,138992.0027073077,smd_1A05,157791.31359369113,138991.69805830411,0.9999978081544431,1.0
smd_2022_1A05,138992.0027073077,smd_1D04,99051.63297306724,0.23018931701609469,1.6561335366958647e-06,2.0
smd_2022_1A05,138992.0027073077,smd_1D01,138365.74090013525,0.07074473845445695,5.089842370530678e-07,3.0
smd_2022_1A05,138992.0027073077,smd_1A03,76769.9425019336,0.0037148376492854573,2.6726988437660267e-08,4.0
smd_2022_1A05,138992.0027073077,smd_1A02,112743.37017368639,1.0856602876196724e-07,7.810955065565023e-13,5.0
smd_2022_1A05,138992.0027073077,smd_1A06,141853.3235858808,1.367356138214028e-09,9.837660524206098e-15,6.0
smd_2022_1A05,138992.0027073077,,,5.463849866171481e-10,3.931053412963171e-15,7.0
smd_2022_1A05,138992.0027073077,smd_1D05,280070.08952397347,0.0,0.0,8.0
smd_2022_1A06,114341.52462382043,smd_1A06,141853.3235858808,94386.45132129487,0.8254783345929919,1.0
smd_2022_1A06,114341.52462382043,smd_1A07,140549.17043054305,19954.941940912406,0.1745205165539244,2.0
