smd_id,neighbors,smd_name,sort_order,redistricting_year,redistricting_cycle,anc_id,ward,centroid_lon,centroid_lat,area,map_color_id,neighbor_smds,overlap_smds,notes,description,current_person_id,current_commissioner,future_person_id,commissioner_elect,map_display_box,votes_2020
smd_2022_1A01,"smd_2022_1A03, smd_2022_1A08, smd_2022_1A09, smd_2022_1B06, smd_2022_1C06, smd_2022_1C09",1A01,,,,1A,,,,,12,,,,,,,,,,
smd_2022_1A02,"smd_2022_1A04, smd_2022_1A05, smd_2022_1A06, smd_2022_1D06",1A02,,,,1A,,,,,2,,,,,,,,,,
smd_2022_1A03,"smd_2022_1A01, smd_2022_1A05, smd_2022_1A06, smd_2022_1A09, smd_2022_1C06, smd_2022_1C09, smd_2022_1D04, smd_2022_1D05",1A03,,,,1A,,,,,3,,,,,,,,,,
smd_2022_1A04,"smd_2022_1A02, smd_2022_1A06, smd_2022_1A07, smd_2022_1D06, smd_2022_1D07, smd_2022_4C03, smd_2022_4C04",1A04,,,,1A,,,,,4,,,,,,,,,,
smd_2022_1A05,"smd_2022_1A02, smd_2022_1A03, smd_2022_1A06, smd_2022_1A09, smd_2022_1D04, smd_2022_1D05, smd_2022_1D06",1A05,,,,1A,,,,,5,,,,,,,,,,
smd_2022_1A06,"smd_2022_1A02, smd_2022_1A03, smd_2022_1A04, smd_2022_1A05, smd_2022_1A07, smd_2022_1A09, smd_2022_1A10, smd_2022_1E03",1A06,,,,1A,,,,,6,,,,,,,,,,
smd_2022_1A07,"smd_2022_1A04, smd_2022_1A06, smd_2022_1E01, smd_2022_1E03, smd_2022_4C03, smd_2022_4C04",1A07,,,,1A,,,,,5,,,,,,,,,,
smd_2022_1A08,"smd_2022_1A01, smd_2022_1A09, smd_2022_1B06, smd_2022_1B09",1A08,,,,1A,,,,,8,,,,,,,,,,
smd_2022_1A09,"smd_2022_1A01, smd_2022_1A03, smd_2022_1A05, smd_2022_1A06, smd_2022_1A08, smd_2022_1A10, smd_2022_1B09",1A09,,,,1A,,,,,7,,,,,,,,,,
smd_2022_1A10,"smd_2022_1A06, smd_2022_1A09, smd_2022_1B09, smd_2022_1E03, smd_2022_1E04, smd_2022_1E05, smd_2022_1E06",1A10,,,,1A,,,,,11,,,,,,,,,,
smd_2022_1B01,"smd_2022_1B02, smd_2022_1E07, smd_2022_2G01, smd_2022_2G03, smd_2022_5E02, smd_2022_5E03, smd_2022_5E04, smd_2022_5E05",1B01,,,,1B,,,,,1,,,,,,,,,,
