smd_id,map_color_id,neighbors
1A01,1,"1A02, 1A04, 1D02, 4C04, 4C05"
1A02,2,"1A01, 1A04, 1A05, 1D01, 1D02"
1A03,3,"1A05, 1A06, 1A11, 1A12, 1C05, 1C06, 1D04, 1D05"
1A04,4,"1A01, 1A02, 1A05, 1A06, 1A07, 4C04, 4C05, 4C06"
1A05,5,"1A02, 1A03, 1A04, 1A06, 1A11, 1D01, 1D04, 1D05"
1A06,6,"1A03, 1A04, 1A05, 1A07, 1A09, 1A10, 1A11"
1A07,7,"1A04, 1A06, 1A08, 1A09, 4C05, 4C06"
1A08,8,"1A07, 1A09, 1A10, 4C06, 4C08, 4C10, 5A05"
1A09,9,"1A06, 1A07, 1A08, 1A10, 1A11"
1A10,3,"1A06, 1A08, 1A09, 1A11, 1B09, 1B10, 5A05, 5E09"
1A11,11,"1A03, 1A05, 1A06, 1A09, 1A10, 1A12, 1B09"
1A12,12,"1A03, 1A11, 1B07, 1B08, 1B09, 1C05, 1C06"
1B01,1,"1B02, 1B11, 5E06, 5E07, 5E08, 6E01, 6E02"
1B02,2,"1B01, 1B03, 1B04, 1B06, 1B11, 1B12, 2F01, 6E01"
1B03,3,"1B02, 1B06, 1B08, 1B09, 1B10, 1B11"
1B04,4,"1B02, 1B05, 1B06, 1B12"
1B05,9,"1B04, 1B06, 1B07, 1B12, 1C06, 1C08, 2B08, 2B09"
1B06,6,"1B02, 1B03, 1B04, 1B05, 1B07, 1B08"
1B07,7,"1A12, 1B05, 1B06, 1B08, 1C06"
1B08,8,"1A12, 1B03, 1B06, 1B07, 1B09"
1B09,9,"1A10, 1A11, 1A12, 1B03, 1B08, 1B10"
1B10,8,"1A10, 1B03, 1B09, 1B11, 5E09"
1B11,11,"1B01, 1B02, 1B03, 1B10, 5E08, 5E09"
1B12,12,"1B02, 1B04, 1B05, 1C08, 2B08, 2B09, 2F01"
1C01,1,"1C02, 1C03, 1C07, 2B01, 2B08, 2D01, 2D02"
1C02,2,"1C01, 1C03, 1C04, 2D01, 3C01, 3C08"
1C03,3,"1C01, 1C02, 1C04, 1C07"
1C04,4,"1C02, 1C03, 1C05, 1C06, 1C07, 1D05, 3C01"
1C05,5,"1A03, 1A12, 1C04, 1C06, 1C07, 1D05"
1C06,6,"1A03, 1A12, 1B05, 1B07, 1C04, 1C05, 1C07, 1C08"
1C07,7,"1C01, 1C03, 1C04, 1C05, 1C06, 1C08, 2B08"
1C08,8,"1B05, 1B12, 1C06, 1C07, 2B08, 2B09"
1D01,9,"1A02, 1A05, 1D02, 1D03, 1D04, 1D05"
1D02,10,"1A01, 1A02, 1D01, 1D03, 4A08, 4C04"
1D03,11,"1D01, 1D02, 1D05, 3C01, 3C04, 4A08"
1D04,12,"1A03, 1A05, 1D01, 1D05"
1D05,1,"1A03, 1A05, 1C04, 1C05, 1D01, 1D03, 1D04, 3C01, 3C04"
2A01,1,"2A04, 2A05, 2A07, 2A08, 2B05, 2B06, 2C01, 6D01, 6D04"
2A02,1,"2A03, 2A06, 2A07, 2B06, 2E05, 2E06"
2A03,3,"2A02, 2A04, 2A06, 2A07, 2E05, 2E06"
2A04,5,"2A01, 2A03, 2A05, 2A07, 2E05"
2A05,6,"2A01, 2A04, 2A07"
2A06,7,"2A02, 2A03, 2A07, 2A08, 2B06"
