,smd_id,redistricting_year,smd_name,map_color_id,list_of_candidates,number_of_candidates,current_commissioner,commissioner_elect,list_of_candidates_status_5,list_of_candidates_status_6,list_of_candidates_status_7,list_of_candidates_status_8
37,smd_2022_1A01,2022,1A01,12,x,1,(vacant),,,x,,
38,smd_2022_1A02,2022,1A02,2,x,1,(vacant),,,x,,
39,smd_2022_1A03,2022,1A03,3,x,1,(vacant),,,x,,
40,smd_2022_1A04,2022,1A04,4,x,1,(vacant),,,x,,
41,smd_2022_1A05,2022,1A05,5,x,1,(vacant),,x,,,
42,smd_2022_1A06,2022,1A06,6,x,1,(vacant),,,x,,
43,smd_2022_1A07,2022,1A07,7,x,1,(vacant),,,x,,
44,smd_2022_1A08,2022,1A08,8,x,1,(vacant),,,x,,
45,smd_2022_1A09,2022,1A09,4,x,1,(vacant),,,x,,
46,smd_2022_1A10,2022,1A10,11,"x, x",2,(vacant),,x,x,,
47,smd_2022_1B01,2022,1B01,1,x,1,(vacant),,x,,,
48,smd_2022_1B02,2022,1B02,2,x,1,(vacant),,,x,,
49,smd_2022_1B03,2022,1B03,6,x,1,(vacant),,,x,,
50,smd_2022_1B04,2022,1B04,4,"x, x",2,(vacant),,,"x, x",,
51,smd_2022_1B05,2022,1B05,3,x,1,(vacant),,,,x,
52,smd_2022_1B06,2022,1B06,9,(no known candidates),0,(vacant),,,,,
53,smd_2022_1B07,2022,1B07,9,"x, x",2,(vacant),,,"x, x",,
54,smd_2022_1B08,2022,1B08,12,x,1,(vacant),,,x,,
55,smd_2022_1B09,2022,1B09,3,x,1,(vacant),,x,,,
56,smd_2022_1C01,2022,1C01,1,x,1,(vacant),,,x,,
57,smd_2022_1C02,2022,1C02,6,x,1,(vacant),,,x,,
58,smd_2022_1C03,2022,1C03,3,x,1,(vacant),,x,,,
59,smd_2022_1C04,2022,1C04,4,x,1,(vacant),,,x,,
60,smd_2022_1C05,2022,1C05,6,x,1,(vacant),,,x,,
61,smd_2022_1C06,2022,1C06,5,x,1,(vacant),,,x,,
62,smd_2022_1C07,2022,1C07,7,"x, x",2,(vacant),,,"x, x",,
63,smd_2022_1C08,2022,1C08,8,(no known candidates),0,(vacant),,,,,
