smd_id,lon,lat,smd_name,map_color_id,number_of_candidates,map_display_box
smd_1A01,-77.03412972,38.93611303,1A01,1,0,"<b>District 1A01</b><br/><a href=""map_2012/ancs/districts/1A01.html"">District Page</a><br/>Commissioner: Layla Bonnot"
smd_1A02,-77.03443069,38.93381287,1A02,2,0,"<b>District 1A02</b><br/><a href=""map_2012/ancs/districts/1A02.html"">District Page</a><br/>Commissioner: Dieter Lehmann Morales"
smd_1A03,-77.03450456,38.92757368,1A03,3,0,"<b>District 1A03</b><br/><a href=""map_2012/ancs/districts/1A03.html"">District Page</a><br/>Commissioner: Carlo Perri"
smd_1A04,-77.03122315,38.93401296,1A04,4,0,"<b>District 1A04</b><br/><a href=""map_2012/ancs/districts/1A04.html"">District Page</a><br/>Commissioner: Chris Hall"
smd_1A05,-77.03437454,38.93071629,1A05,5,0,"<b>District 1A05</b><br/><a href=""map_2012/ancs/districts/1A05.html"">District Page</a><br/>Commissioner: Christine Miller"
smd_1A06,-77.02965106,38.93012216,1A06,6,0,"<b>District 1A06</b><br/><a href=""map_2012/ancs/districts/1A06.html"">District Page</a><br/>Commissioner: Brandolon Barnett"
smd_1A07,-77.02787638,38.93378167,1A07,7,0,"<b>District 1A07</b><br/><a href=""map_2012/ancs/districts/1A07.html"">District Page</a><br/>Commissioner: Mukta Ghorpadey"
smd_1A08,-77.02281490000001,38.9349699,1A08,8,0,"<b>District 1A08</b><br/><a href=""map_2012/ancs/districts/1A08.html"">District Page</a><br/>Commissioner: Kent C. Boese"
smd_1A09,-77.0234507,38.93190068,1A09,9,0,"<b>District 1A09</b><br/><a href=""map_2012/ancs/districts/1A09.html"">District Page</a><br/>Commissioner: Michael Wray"
smd_1A10,-77.02166227,38.92972346,1A10,3,0,"<b>District 1A10</b><br/><a href=""map_2012/ancs/districts/1A10.html"">District Page</a><br/>Commissioner: Rashida Brown"
smd_1A11,-77.02866324,38.928008899999995,1A11,11,0,"<b>District 1A11</b><br/><a href=""map_2012/ancs/districts/1A11.html"">District Page</a><br/>Commissioner: Dotti Love Wade"
smd_1A12,-77.03218347,38.9262092,1A12,12,0,"<b>District 1A12</b><br/><a href=""map_2012/ancs/districts/1A12.html"">District Page</a><br/>Commissioner: (vacant)"
smd_1B01,-77.01861219,38.91673574,1B01,1,0,"<b>District 1B01</b><br/><a href=""map_2012/ancs/districts/1B01.html"">District Page</a><br/>Commissioner: Larry Handerhan"
smd_1B02,-77.02583608,38.91688320000001,1B02,2,0,"<b>District 1B02</b><br/><a href=""map_2012/ancs/districts/1B02.html"">District Page</a><br/>Commissioner: Dan Orlaskey"
smd_1B03,-77.02621711,38.9235578,1B03,3,0,"<b>District 1B03</b><br/><a href=""map_2012/ancs/districts/1B03.html"">District Page</a><br/>Commissioner: Muhsin Boe Umar"
smd_1B04,-77.03095520000002,38.91935157,1B04,4,0,"<b>District 1B04</b><br/><a href=""map_2012/ancs/districts/1B04.html"">District Page</a><br/>Commissioner: Deborah Thomas"
smd_1B05,-77.03483519,38.92041768,1B05,9,0,"<b>District 1B05</b><br/><a href=""map_2012/ancs/districts/1B05.html"">District Page</a><br/>Commissioner: Alan Kensek Jr."
smd_1B06,-77.03367763,38.92214050000001,1B06,6,0,"<b>District 1B06</b><br/><a href=""map_2012/ancs/districts/1B06.html"">District Page</a><br/>Commissioner: Judy Floy"
smd_1B07,-77.03461686,38.9244696,1B07,7,0,"<b>District 1B07</b><br/><a href=""map_2012/ancs/districts/1B07.html"">District Page</a><br/>Commissioner: Max Ewart"
smd_1B08,-77.03134465,38.92411115,1B08,8,0,"<b>District 1B08</b><br/><a href=""map_2012/ancs/districts/1B08.html"">District Page</a><br/>Commissioner: Eric Behna"
smd_1B09,-77.02465464,38.92644435,1B09,9,0,"<b>District 1B09</b><br/><a href=""map_2012/ancs/districts/1B09.html"">District Page</a><br/>Commissioner: James A. Turner"
smd_1B10,-77.0172046,38.92460292,1B10,8,0,"<b>District 1B10</b><br/><a href=""map_2012/ancs/districts/1B10.html"">District Page</a><br/>Commissioner: (vacant)"
smd_1B11,-77.02241713,38.92134765,1B11,11,0,"<b>District 1B11</b><br/><a href=""map_2012/ancs/districts/1B11.html"">District Page</a><br/>Commissioner: Amanda Farnan"
smd_1B12,-77.03045429,38.91610949,1B12,12,0,"<b>District 1B12</b><br/><a href=""map_2012/ancs/districts/1B12.html"">District Page</a><br/>Commissioner: Sabel Harris"
smd_1C01,-77.04444151,38.91718255,1C01,1,0,"<b>District 1C01</b><br/><a href=""map_2012/ancs/districts/1C01.html"">District Page</a><br/>Commissioner: Howard Bauleke"
smd_1C02,-77.04743226,38.92048567,1C02,2,0,"<b>District 1C02</b><br/><a href=""map_2012/ancs/districts/1C02.html"">District Page</a><br/>Commissioner: (vacant)"
smd_1C03,-77.04376556,38.92060992,1C03,3,0,"<b>District 1C03</b><br/><a href=""map_2012/ancs/districts/1C03.html"">District Page</a><br/>Commissioner: Peter Wood"
smd_1C04,-77.04545288,38.92522014,1C04,4,0,"<b>District 1C04</b><br/><a href=""map_2012/ancs/districts/1C04.html"">District Page</a><br/>Commissioner: Meghan Faulkner"
smd_1C05,-77.03990269,38.92648502,1C05,5,0,"<b>District 1C05</b><br/><a href=""map_2012/ancs/districts/1C05.html"">District Page</a><br/>Commissioner: Deb Felsenthal"
smd_1C06,-77.03833177,38.92413955,1C06,6,0,"<b>District 1C06</b><br/><a href=""map_2012/ancs/districts/1C06.html"">District Page</a><br/>Commissioner: Benjamin Hart Butz"
smd_1C07,-77.04111633,38.92099393,1C07,7,0,"<b>District 1C07</b><br/><a href=""map_2012/ancs/districts/1C07.html"">District Page</a><br/>Commissioner: Jake Faleschini"
smd_1C08,-77.03794147,38.91955029,1C08,8,0,"<b>District 1C08</b><br/><a href=""map_2012/ancs/districts/1C08.html"">District Page</a><br/>Commissioner: Fiona Clem"
smd_1D01,-77.03942696,38.93238645,1D01,9,0,"<b>District 1D01</b><br/><a href=""map_2012/ancs/districts/1D01.html"">District Page</a><br/>Commissioner: Jason Hamacher"
smd_1D02,-77.03779258,38.93605114,1D02,10,0,"<b>District 1D02</b><br/><a href=""map_2012/ancs/districts/1D02.html"">District Page</a><br/>Commissioner: Robin Sandenburgh"
smd_1D03,-77.04380037,38.93391563,1D03,11,0,"<b>District 1D03</b><br/><a href=""map_2012/ancs/districts/1D03.html"">District Page</a><br/>Commissioner: Jack McKay"
smd_1D04,-77.03766493,38.93109848,1D04,12,0,"<b>District 1D04</b><br/><a href=""map_2012/ancs/districts/1D04.html"">District Page</a><br/>Commissioner: Matthew Brandeburg"
smd_1D05,-77.04278891,38.92961112,1D05,1,0,"<b>District 1D05</b><br/><a href=""map_2012/ancs/districts/1D05.html"">District Page</a><br/>Commissioner: Chelsea A. Allinger"
smd_2A01,-77.04425159,38.88557694,2A01,1,0,"<b>District 2A01</b><br/><a href=""map_2012/ancs/districts/2A01.html"">District Page</a><br/>Commissioner: Yannik Omictin"
smd_2A02,-77.05257832,38.90538397,2A02,1,0,"<b>District 2A02</b><br/><a href=""map_2012/ancs/districts/2A02.html"">District Page</a><br/>Commissioner: Joel Causey"
smd_2A03,-77.05401803,38.90251423,2A03,3,0,"<b>District 2A03</b><br/><a href=""map_2012/ancs/districts/2A03.html"">District Page</a><br/>Commissioner: Trupti ""Trip"" J. Patel"
smd_2A04,-77.05738345,38.8923578,2A04,5,0,"<b>District 2A04</b><br/><a href=""map_2012/ancs/districts/2A04.html"">District Page</a><br/>Commissioner: Donna Barbisch"
smd_2A05,-77.05154143,38.89747613,2A05,6,0,"<b>District 2A05</b><br/><a href=""map_2012/ancs/districts/2A05.html"">District Page</a><br/>Commissioner: Evelyn Hudson"
smd_2A06,-77.04815569,38.90398353,2A06,7,0,"<b>District 2A06</b><br/><a href=""map_2012/ancs/districts/2A06.html"">District Page</a><br/>Commissioner: Jeri Epstein"
smd_2A07,-77.04917717,38.89943499,2A07,8,0,"<b>District 2A07</b><br/><a href=""map_2012/ancs/districts/2A07.html"">District Page</a><br/>Commissioner: Adam Friend"
smd_2A08,-77.04717194,38.89903558,2A08,9,0,"<b>District 2A08</b><br/><a href=""map_2012/ancs/districts/2A08.html"">District Page</a><br/>Commissioner: Margaret McDonald"
smd_2B01,-77.04262907,38.91425386,2B01,10,0,"<b>District 2B01</b><br/><a href=""map_2012/ancs/districts/2B01.html"">District Page</a><br/>Commissioner: Meg Roggensack"
smd_2B02,-77.04630794,38.91034831,2B02,6,0,"<b>District 2B02</b><br/><a href=""map_2012/ancs/districts/2B02.html"">District Page</a><br/>Commissioner: Jeff Rueckgauer"
smd_2B03,-77.04140802,38.91220145,2B03,12,0,"<b>District 2B03</b><br/><a href=""map_2012/ancs/districts/2B03.html"">District Page</a><br/>Commissioner: Robin Nunn"
smd_2B04,-77.03651815,38.91261601,2B04,1,0,"<b>District 2B04</b><br/><a href=""map_2012/ancs/districts/2B04.html"">District Page</a><br/>Commissioner: (vacant)"
smd_2B05,-77.03732469,38.90486477,2B05,2,0,"<b>District 2B05</b><br/><a href=""map_2012/ancs/districts/2B05.html"">District Page</a><br/>Commissioner: William Herbig"
smd_2B06,-77.043,38.9047105,2B06,10,0,"<b>District 2B06</b><br/><a href=""map_2012/ancs/districts/2B06.html"">District Page</a><br/>Commissioner: Mike Silverstein"
smd_2B07,-77.04106427,38.90919804,2B07,4,0,"<b>District 2B07</b><br/><a href=""map_2012/ancs/districts/2B07.html"">District Page</a><br/>Commissioner: Randy D. Downs"
smd_2B08,-77.04024711,38.9159185,2B08,5,0,"<b>District 2B08</b><br/><a href=""map_2012/ancs/districts/2B08.html"">District Page</a><br/>Commissioner: Matthew Holden"
smd_2B09,-77.03521745,38.91555449,2B09,6,0,"<b>District 2B09</b><br/><a href=""map_2012/ancs/districts/2B09.html"">District Page</a><br/>Commissioner: Kyle Mulhall"
smd_2C01,-77.02756668,38.89566196,2C01,4,0,"<b>District 2C01</b><br/><a href=""map_2012/ancs/districts/2C01.html"">District Page</a><br/>Commissioner: Michael D. Shankle"
smd_2C02,-77.01685784,38.89937475,2C02,2,0,"<b>District 2C02</b><br/><a href=""map_2012/ancs/districts/2C02.html"">District Page</a><br/>Commissioner: (vacant)"
smd_2C03,-77.01743103,38.89213327,2C03,8,0,"<b>District 2C03</b><br/><a href=""map_2012/ancs/districts/2C03.html"">District Page</a><br/>Commissioner: Gigi Nelson"
smd_2D01,-77.05249942,38.91742694,2D01,10,0,"<b>District 2D01</b><br/><a href=""map_2012/ancs/districts/2D01.html"">District Page</a><br/>Commissioner: Ashley Warren"
smd_2D02,-77.05165667,38.91386138,2D02,11,0,"<b>District 2D02</b><br/><a href=""map_2012/ancs/districts/2D02.html"">District Page</a><br/>Commissioner: Carole Feld"
smd_2E01,-77.07496999,38.9144569,2E01,12,0,"<b>District 2E01</b><br/><a href=""map_2012/ancs/districts/2E01.html"">District Page</a><br/>Commissioner: Kishan Putta"
smd_2E02,-77.06848309,38.91174066,2E02,1,0,"<b>District 2E02</b><br/><a href=""map_2012/ancs/districts/2E02.html"">District Page</a><br/>Commissioner: Jenny Mitchell"
smd_2E03,-77.06592259,38.90810278,2E03,2,0,"<b>District 2E03</b><br/><a href=""map_2012/ancs/districts/2E03.html"">District Page</a><br/>Commissioner: Rick Murphy"
smd_2E04,-77.07576471,38.90837279,2E04,3,0,"<b>District 2E04</b><br/><a href=""map_2012/ancs/districts/2E04.html"">District Page</a><br/>Commissioner: Cimrun Srivastara"
smd_2E05,-77.06605626,38.90159144,2E05,6,0,"<b>District 2E05</b><br/><a href=""map_2012/ancs/districts/2E05.html"">District Page</a><br/>Commissioner: Lisa Palmer"
smd_2E06,-77.05895557,38.90755753,2E06,5,0,"<b>District 2E06</b><br/><a href=""map_2012/ancs/districts/2E06.html"">District Page</a><br/>Commissioner: Gwendolyn Lohse"
smd_2E07,-77.06032892,38.91392513,2E07,6,0,"<b>District 2E07</b><br/><a href=""map_2012/ancs/districts/2E07.html"">District Page</a><br/>Commissioner: Elizabeth H. Miller"
smd_2E08,-77.07248223,38.90795759,2E08,7,0,"<b>District 2E08</b><br/><a href=""map_2012/ancs/districts/2E08.html"">District Page</a><br/>Commissioner: Arnav Kumar"
smd_2F01,-77.0307978,38.91261719,2F01,8,0,"<b>District 2F01</b><br/><a href=""map_2012/ancs/districts/2F01.html"">District Page</a><br/>Commissioner: Brian Romanowski"
smd_2F02,-77.03247769,38.90991514,2F02,9,0,"<b>District 2F02</b><br/><a href=""map_2012/ancs/districts/2F02.html"">District Page</a><br/>Commissioner: John Guggenmos"
smd_2F03,-77.03239926,38.90755202,2F03,10,0,"<b>District 2F03</b><br/><a href=""map_2012/ancs/districts/2F03.html"">District Page</a><br/>Commissioner: Michelle Yan"
smd_2F04,-77.02850472,38.90975766,2F04,11,0,"<b>District 2F04</b><br/><a href=""map_2012/ancs/districts/2F04.html"">District Page</a><br/>Commissioner: John Fanning"
smd_2F05,-77.03233863,38.90435173,2F05,12,0,"<b>District 2F05</b><br/><a href=""map_2012/ancs/districts/2F05.html"">District Page</a><br/>Commissioner: Sherene Joseph"
smd_2F06,-77.02441646,38.90577558,2F06,1,0,"<b>District 2F06</b><br/><a href=""map_2012/ancs/districts/2F06.html"">District Page</a><br/>Commissioner: Maxime Devilliers"
smd_2F07,-77.02780695,38.90645161,2F07,2,0,"<b>District 2F07</b><br/><a href=""map_2012/ancs/districts/2F07.html"">District Page</a><br/>Commissioner: (vacant)"
smd_2F08,-77.02915432,38.90317488,2F08,3,0,"<b>District 2F08</b><br/><a href=""map_2012/ancs/districts/2F08.html"">District Page</a><br/>Commissioner: Alexandra Bailey"
smd_3B01,-77.07775321,38.92552233,3B01,10,0,"<b>District 3B01</b><br/><a href=""map_2012/ancs/districts/3B01.html"">District Page</a><br/>Commissioner: Ann Lane Mladinov"
smd_3B02,-77.07218641,38.92087041,3B02,5,0,"<b>District 3B02</b><br/><a href=""map_2012/ancs/districts/3B02.html"">District Page</a><br/>Commissioner: Jackie Blumenthal"
smd_3B03,-77.08125469,38.92195048,3B03,4,0,"<b>District 3B03</b><br/><a href=""map_2012/ancs/districts/3B03.html"">District Page</a><br/>Commissioner: Melissa Lane"
smd_3B04,-77.07970019,38.92860509,3B04,7,0,"<b>District 3B04</b><br/><a href=""map_2012/ancs/districts/3B04.html"">District Page</a><br/>Commissioner: Elizabeth Elson"
smd_3B05,-77.07671338,38.91940931,3B05,8,0,"<b>District 3B05</b><br/><a href=""map_2012/ancs/districts/3B05.html"">District Page</a><br/>Commissioner: Brian G. Turmail"
smd_3C01,-77.05057441,38.92870418,3C01,9,0,"<b>District 3C01</b><br/><a href=""map_2012/ancs/districts/3C01.html"">District Page</a><br/>Commissioner: Lee Brian Reba"
smd_3C02,-77.05644533,38.92508256,3C02,10,0,"<b>District 3C02</b><br/><a href=""map_2012/ancs/districts/3C02.html"">District Page</a><br/>Commissioner: Jason Fink"
smd_3C03,-77.05672124,38.92916458,3C03,11,0,"<b>District 3C03</b><br/><a href=""map_2012/ancs/districts/3C03.html"">District Page</a><br/>Commissioner: Janell Marie Pagats"
smd_3C04,-77.05350391,38.93576569,3C04,12,0,"<b>District 3C04</b><br/><a href=""map_2012/ancs/districts/3C04.html"">District Page</a><br/>Commissioner: Beau Finley"
smd_3C05,-77.06471945,38.93701986,3C05,1,0,"<b>District 3C05</b><br/><a href=""map_2012/ancs/districts/3C05.html"">District Page</a><br/>Commissioner: Sauleh A. Siddiqui"
smd_3C06,-77.07695961,38.93747792,3C06,2,0,"<b>District 3C06</b><br/><a href=""map_2012/ancs/districts/3C06.html"">District Page</a><br/>Commissioner: Adam M. Hoyt"
smd_3C07,-77.0751814,38.93111168,3C07,1,0,"<b>District 3C07</b><br/><a href=""map_2012/ancs/districts/3C07.html"">District Page</a><br/>Commissioner: Maureen Kinlan Boucher"
smd_3C08,-77.06611227,38.92480257,3C08,3,0,"<b>District 3C08</b><br/><a href=""map_2012/ancs/districts/3C08.html"">District Page</a><br/>Commissioner: Jocelyn Dyer"
smd_3C09,-77.07019553,38.93374061,3C09,5,0,"<b>District 3C09</b><br/><a href=""map_2012/ancs/districts/3C09.html"">District Page</a><br/>Commissioner: Nancy J. MacWood"
smd_3D01,-77.0892917,38.92807101,3D01,5,0,"<b>District 3D01</b><br/><a href=""map_2012/ancs/districts/3D01.html"">District Page</a><br/>Commissioner: Chuck Elkins"
smd_3D02,-77.09474382,38.93754055,3D02,7,0,"<b>District 3D02</b><br/><a href=""map_2012/ancs/districts/3D02.html"">District Page</a><br/>Commissioner: Elizabeth R. Pemmerl"
smd_3D03,-77.1028613,38.94012416,3D03,8,0,"<b>District 3D03</b><br/><a href=""map_2012/ancs/districts/3D03.html"">District Page</a><br/>Commissioner: Paige Ela"
smd_3D04,-77.11109186,38.93134285,3D04,9,0,"<b>District 3D04</b><br/><a href=""map_2012/ancs/districts/3D04.html"">District Page</a><br/>Commissioner: Michael Sriqui"
smd_3D05,-77.10130037,38.92212098,3D05,10,0,"<b>District 3D05</b><br/><a href=""map_2012/ancs/districts/3D05.html"">District Page</a><br/>Commissioner: Sabra Horne"
smd_3D06,-77.09031183,38.91714255,3D06,11,0,"<b>District 3D06</b><br/><a href=""map_2012/ancs/districts/3D06.html"">District Page</a><br/>Commissioner: Jason Rao"
smd_3D07,-77.08921644,38.93726574,3D07,12,0,"<b>District 3D07</b><br/><a href=""map_2012/ancs/districts/3D07.html"">District Page</a><br/>Commissioner: Christian Damiana"
smd_3D08,-77.08316759,38.93160567,3D08,1,0,"<b>District 3D08</b><br/><a href=""map_2012/ancs/districts/3D08.html"">District Page</a><br/>Commissioner: Ben Bergmann"
